model,category,part_number,normalized_part_number,description
QT-6100,Reel To Reel Tape,E17-401-0,E17-401,Take-up pulley (A) assembly
QT-6600,Reel To Reel Tape,E17-401-0,E17-401,Take-up pulley (A) assembly
QT-6100,Reel To Reel Tape,E17-402-0,E17-402,Take-up pulley (B) assembly
QT-6600,Reel To Reel Tape,E17-402-0,E17-402,Takevup pulley (B) assembly
QT-6100,Reel To Reel Tape,E17-403-0,E17-403,Reel mount base assembly
QT-6100,Reel To Reel Tape,E17-403-0,E17-403,Reel mount base assembly
QT-6600,Reel To Reel Tape,E17-403-0,E17-403,Fleel mount base assembly
QT-6600,Reel To Reel Tape,E17-403-0,E17-403,Reel mount base assembly
QT-6100,Reel To Reel Tape,E17-408-0,E17-408,Reel mount pulley assembly
QT-6100,Reel To Reel Tape,E17-408-0,E17-408,Reel mount pulley assembly
QT-6600,Reel To Reel Tape,E17-408-0,E17-408,Reel mount pulley assembly
QT-6600,Reel To Reel Tape,E17-408-0,E17-408,Reel mount pulley assembly
QT-6100,Reel To Reel Tape,E17-409-0,E17-409,Pinch arm raising metal (B)
QT-6600,Reel To Reel Tape,E17-409-0,E17-409,Pinch arm raising metal (B) assembly
QT-74,Reel To Reel Tape,E17-409-0,E17-409,Pinch arm raising metal (A) assembly
QT-6100,Reel To Reel Tape,E17-414-0,E17-414,Foot ass'y
T-8800,Reel To Reel Tape,E17-421,E17-421,REEL BASE ASSY (A)
T-8800,Reel To Reel Tape,E17-428,E17-428,BUTTON(STOP ASSY)
T-8800,Reel To Reel Tape,E17-430,E17-430,BUTTON(REVERSE PLAY ASSY)
T-8800,Reel To Reel Tape,E17-431,E17-431,BUTTON(FORWARD PLAY ASSY)
T-8800,Reel To Reel Tape,E17-432,E17-432,BUTTON(FAST FORWARD)
T-3300,Cassette Tape,E17-434,E17-434,CASSETTE COVER ASSY
T-3300,Cassette Tape,E17-435,E17-435,REEL BASE (A) AS
T-3300,Cassette Tape,E17-436,E17-436,REEL BASE (B) ASSY
T-3300,Cassette Tape,E17-440,E17-440,BUTTON(POWER)
T-8800,Reel To Reel Tape,E17-449,E17-449,SWITCH(PAUSE ASSY)
QT-6100,Reel To Reel Tape,E17-452-0,E17-452,Flywheel ass'y
QT-6600,Reel To Reel Tape,E17-452-0,E17-452,Flywheel assembly
QT-74,Reel To Reel Tape,E17-452-0,E17-452,Flywheel assembly
QT-6100,Reel To Reel Tape,E17-511-0,E17-511,Pinch roller ass‘y
QT-6600,Reel To Reel Tape,E17-511-0,E17-511,Pinch roller assembly
QT-74,Reel To Reel Tape,E17-511-0,E17-511,Pinch roller assembly
T-6100,Reel To Reel Tape,E17-511,E17-511,PINCH ROLLER ASSY
T-6600,Reel To Reel Tape,E17-511,E17-511,PINCH ROLLER ASSY
QT-6600,Reel To Reel Tape,E17-512-0,E17-512,Speed selector cam assembly
QT-74,Reel To Reel Tape,E17-512-0,E17-512,Speed selector cam assembly
QA-800,Integrated Amplifier,E21 -0060,E21 -0060,Fuse 3A
SX-6000,Receiver,E21 -022-0,E21 -022,Fuse 3A
SA-8100,Integrated Amplifier,E21 -033-0,E21 -033,Fuse 1A for protection   KUW model
SA-8100,Integrated Amplifier,E21 -033-0,E21 -033,Fuse 1A for protection   KUW model
SA-8100,Integrated Amplifier,E21 -033-0,E21 -033,Fuse 1A for protection   KUW model
SX-424,Receiver,E21 -033-0,E21 -033,Fuse 1A (KUW)
QX-949,Receiver,E21 -034-A,E21 -034,Fuse 1A (protection)
SA-8100,Integrated Amplifier,E21 -034-A,E21 -034,Fuse 1A for protection   FVW model
QX-949,Receiver,E21 -036-A,E21 -036,Fuse 3A (protection)
SX-434,Receiver,E21 -036-A,E21 -036,"Fuse  3A (protection - KCU,FV)"
QL-600,Integrated Amplifier,E21-004-C,E21-004,Fuse 1A
QL-600A,Integrated Amplifier,E21-004-0,E21-004,Fuse 1A - FVW
QT-6600,Reel To Reel Tape,E21-004-0,E21-004,1A fuse
QX-4000,Receiver,E21-004-0,E21-004,Fuse 1A
QX-646,Receiver,E21-004-0,E21-004,Fuse 1A (AC power - FW model)
RT-1020L,Reel To Reel Tape,E21-004-A,E21-004,1A fuse
SA-500,Integrated Amplifier,E21-004-O,E21-004,Fuse 1A
SA-500A,Integrated Amplifier,E21-004-A,E21-004,Fuse 1A (FV)
SA-500A,Integrated Amplifier,E21-004-A,E21-004,Fuse 1A (KC)
SA-600,Integrated Amplifier,E21-004-0,E21-004,1A fuse (FVW)
SA-700,Integrated Amplifier,E21-004-0,E21-004,Fuse 1A
SA-800,Integrated Amplifier,E21-004-0,E21-004,Fuse 1A
SD-1000,Other,E21-004-A,E21-004,Fuse 1A
SD-1000,Other,E21-004-O,E21-004,"Fuse, 1A"
SD-1100,Other,E21-004-0,E21-004,Fuse 1A
SX-424,Receiver,E21-004-0,E21-004,Fuse 1A (FVZW)
SX-440,Receiver,E21-004-0,E21-004,Fuse 1A
SX-700T,Receiver,E21-004-0,E21-004,Fuse 1A
SX-990,Receiver,E21-004-0,E21-004,Fuse 1A
QL-600A,Integrated Amplifier,E21-005-0,E21-005,Fuse 2A for protection - FVW
QM-800,Amplifier,E21-005-0,E21-005,Fuse 2A
QM-800A,Amplifier,E21-005-0,E21-005,Fuse 2A
QX-4000,Receiver,E21-005-0,E21-005,Fuse 2A
SA-600,Integrated Amplifier,E21-005-O,E21-005,2A fuse (KCW)
SA-700,Integrated Amplifier,E21-005-0,E21-005,Fuse 2A
SX-1000TA (Later),Receiver,E21-005-0,E21-005,Fuse 2A
SX-440,Receiver,E21-005-0,E21-005,Fuse 2A
QA-800A,Integrated Amplifier,E21-006-0,E21-006,Fuse 3A
QX-8000,Receiver,E21-006-0,E21-006,Fuse 3A
SA-1000,Integrated Amplifier,E21-006-O,E21-006,3A fuse (FVW model)
SA-800,Integrated Amplifier,E21-006-0,E21-006,Fuse 3A (KUW)
SA-900,Integrated Amplifier,E21-006-0,E21-006,Fuse 3A
SX-1000TD,Receiver,E21-006-0,E21-006,3A Fuse
SX-1000TW,Receiver,E21-006-0,E21-006,3A Fuse
SX-1500T,Receiver,E21-006-0,E21-006,3A Fuse
SX-1500TD,Receiver,E21-006-0,E21-006,Fuse 3A
SX-6000,Receiver,E21-006-0,E21-006,Fuse 3A
SX-727,Receiver,E21-006-0,E21-006,Fuse 3A
SX-828,Receiver,E21-006-0,E21-006,Fuse 3A (FVZW)
SX-828,Receiver,E21-006-0,E21-006,Fuse 3A (FW)
SX-9000,Receiver,E21-006-0,E21-006,Fuse 3A
