model,category,part_number,normalized_part_number,description
RT-707,Reel To Reel Tape,RKP-030,RKP-030,DIN connector
CT-F950,Cassette Tape,RKP-044,RKP-044,Connector (13p)
DT-400,Timer,RKP-050,RKP-050,AC OUTLET SOCKET DT400
CT-F1250,Cassette Tape,RKP-064,RKP-064,Connector assembly (16P)
CT-F850,Cassette Tape,RKP-066,RKP-066,Connector (11p)
CT-F1250,Cassette Tape,RKP-111,RKP-111,Connector ass'y
CT-F1250,Cassette Tape,RKP-114,RKP-114,AC socket
CT-F750,Cassette Tape,RKP-117,RKP-117,Connector assembly (B)
RT-909,Reel To Reel Tape,RKP-121,RKP-121,Connector assembly (5p)
RT-909,Reel To Reel Tape,RKP-126,RKP-126,Connector assembly (4p)
RT-909,Reel To Reel Tape,RKP-128,RKP-128,Connector assembly (9p)
RT-909,Reel To Reel Tape,RKP-130,RKP-130,Connector assembly (19p)
CT-F750,Cassette Tape,RKP-138,RKP-138,Connector assembly 7P
CT-F750,Cassette Tape,RKP-139,RKP-139,Connector assembly 10P
CT-F750,Cassette Tape,RKP-144,RKP-144,Connector assembly (E)
CT-F1050,Cassette Tape,RKP-213,RKP-213,2P connector assembly (B)
CT-F1050,Cassette Tape,RKP-217,RKP-217,6P connector socket assembly A
CT-F1050,Cassette Tape,RKP-218,RKP-218,6P connector assembly B
CT-F1050,Cassette Tape,RKP-219,RKP-219,3P connector assembly A
CT-F1050,Cassette Tape,RKP-220,RKP-220,3P connector assembly- B
CT-F1050,Cassette Tape,RKP-222,RKP-222,Remote-control socket
CT-F1050,Cassette Tape,RKP-225,RKP-225,Connector assembly (3)
CT-F1050,Cassette Tape,RKP-226,RKP-226,Connector assembly (4)
CT-F1050,Cassette Tape,RKP-228,RKP-228,Connector assembly (6)
CT-F1050,Cassette Tape,RKP-229,RKP-229,Connector assembly (7)
CT-F1050,Cassette Tape,RKP-229,RKP-229,Connector assembly (7)
CT-F1050,Cassette Tape,RKP-230,RKP-230,Connector assembly (8)
CT-F1050,Cassette Tape,RKP-231,RKP-231,Connector assembly (9)
CT-F1050,Cassette Tape,RKP-232,RKP-232,Connector assembly (10)
CT-F1050,Cassette Tape,RKP-232,RKP-232,Connector assembly (10)
CT-F1050,Cassette Tape,RKP-233,RKP-233,Connector assembly (11)
CT-F1050,Cassette Tape,RKP-234,RKP-234,Connector assembly (12)
CT-F1050,Cassette Tape,RKP-235,RKP-235,Connector assembly (13)
CT-F1050,Cassette Tape,RKP-236,RKP-236,Connector assembly (14)
CT-F1050,Cassette Tape,RKP-237,RKP-237,Connector assembly (15)
CT-F1050,Cassette Tape,RKP-238,RKP-238,Connector assembly (16)
CT-F1050,Cassette Tape,RKP-239,RKP-239,Connector assembly - Dolby (17)
CT-F9191,Cassette Tape,RKR-016,RKR-016,Fuse holder (KCU)
RT-701,Reel To Reel Tape,RKR-017,RKR-017,Fuse Clip
CT-F700,Cassette Tape,RKR-019,RKR-019,Line voltage selector (Switchable 2 position)  (HG type)
CT-F1050,Cassette Tape,RKR-020,RKR-020,"Line voltage selector (switchable 3 positions: 110V, 220V and 240V)"
CT-F700,Cassette Tape,RKR-020,RKR-020,Line voltage selector (Switchable 3 positions)  (D type)
CT-F700,Cassette Tape,RKR-020,RKR-020,Line voltage selector (Switchable 3 positions)  (D/G type)
RT-909,Reel To Reel Tape,RKR-020,RKR-020,Line voltage selector - Switchable 3-positions (D/G)
RT-707,Reel To Reel Tape,RLA 667,RLA 667,Shut off arm pin
QT-6100,Reel To Reel Tape,RLA-032-0,RLA-032,Fastforward cam collar
QT-6600,Reel To Reel Tape,RLA-032-0,RLA-032,Fast-forward cam collar
QT-6600,Reel To Reel Tape,RLA-035-0,RLA-035,E. head spacer
QT-74,Reel To Reel Tape,RLA-035-0,RLA-035,Erase head spacer
QT-6100,Reel To Reel Tape,RLA-036-0,RLA-036,Tape guide 8M
QT-6100,Reel To Reel Tape,RLA-036-0,RLA-036,Tape guide SM
QT-6600,Reel To Reel Tape,RLA-036-0,RLA-036,Tape guide 8lVl .
QT-74,Reel To Reel Tape,RLA-036-0,RLA-036,Tape guide 8M
QT-6100,Reel To Reel Tape,RLA-037-0,RLA-037,Tape guide 6M
QT-6100,Reel To Reel Tape,RLA-037-0,RLA-037,Tape guide BM
QT-6600,Reel To Reel Tape,RLA-037-0,RLA-037,Tape guide 6M
QT-74,Reel To Reel Tape,RLA-037-0,RLA-037,Tape guide 6M
QT-6600,Reel To Reel Tape,RLA-038-0,RLA-038,Recording lever shaft
QT-74,Reel To Reel Tape,RLA-038-0,RLA-038,Recording lever shaft
QT-6600,Reel To Reel Tape,RLA-040-0,RLA-040,Slide pole
QT-74,Reel To Reel Tape,RLA-040-0,RLA-040,Slide pole
QT-6100,Reel To Reel Tape,RLA-070-0,RLA-070,Recording lever shaft
QT-74,Reel To Reel Tape,RLA-077-B,RLA-077,Reel mount shaft
QT-74,Reel To Reel Tape,RLA-077-B,RLA-077,Reel mount shaft
QT-6100,Reel To Reel Tape,RLA-102-0,RLA-102,Reel mount shaft
QT-6100,Reel To Reel Tape,RLA-102-0,RLA-102,Reel mount shaft
QT-6600,Reel To Reel Tape,RLA-102-0,RLA-102,Reel mount shaft
QT-6600,Reel To Reel Tape,RLA-102-0,RLA-102,Reel mount shaft
QT-6100,Reel To Reel Tape,RLA-197-0,RLA-197,Take-up pulley spacer
QT-6100,Reel To Reel Tape,RLA-197-0,RLA-197,Take-up pulley spacer
QT-6600,Reel To Reel Tape,RLA-197-0,RLA-197,Take-up pulley spacer
QT-6600,Reel To Reel Tape,RLA-197-0,RLA-197,Take-up pulley spacer
QT-74,Reel To Reel Tape,RLA-197-0,RLA-197,Take-up pulley spacer
RT-1020L,Reel To Reel Tape,RLA-294-A,RLA-294,Flywheel shaft (A)
RT-1020L,Reel To Reel Tape,RLA-295-A,RLA-295,Flywheel shaft (B)
RT-1020L,Reel To Reel Tape,RLA-296-A,RLA-296,Hex. pole (motor)
RT-1011L,Reel To Reel Tape,RLA-297-0,RLA-297,Shifter arm shaft
RT-1020L,Reel To Reel Tape,RLA-297-0,RLA-297,Shifter arm shaft
RT-1020L,Reel To Reel Tape,RLA-298-0,RLA-298,Shifter pole
RT-1011L,Reel To Reel Tape,RLA-300-B,RLA-300,Tape guide (A)
RT-1011L,Reel To Reel Tape,RLA-300-B,RLA-300,Tape guide (A)
RT-1020L,Reel To Reel Tape,RLA-300-A,RLA-300,Tape guide (A)
RT-1020L,Reel To Reel Tape,RLA-300A,RLA-300A,Tape guide (A)
RT-1011L,Reel To Reel Tape,RLA-301-A,RLA-301,Tape guide (B)
RT-1020L,Reel To Reel Tape,RLA-301-0,RLA-301,Tape guide (B)
RT-1020L,Reel To Reel Tape,RLA-302-0,RLA-302,Roller arm shaft
RT-1020L,Reel To Reel Tape,RLA-304-A,RLA-304,Stepped washer
RT-1020L,Reel To Reel Tape,RLA-304-A,RLA-304,Steppedwasher
RT-1020L,Reel To Reel Tape,RLA-305-B,RLA-305,Solenoid shaft
RT-1011L,Reel To Reel Tape,RLA-307-0,RLA-307,Pinch arm shaft
RT-1011L,Reel To Reel Tape,RLA-307-0,RLA-307,Pinch arm shaft
RT-1020L,Reel To Reel Tape,RLA-307-0,RLA-307,Pinch arm shaft
RT-1020L,Reel To Reel Tape,RLA-307-0,RLA-307,Pinch arm shaft
RT-1011L,Reel To Reel Tape,RLA-308-0,RLA-308,Tension arm shaft
RT-1020L,Reel To Reel Tape,RLA-308-0,RLA-308,Tension arm shaft
RT-1011L,Reel To Reel Tape,RLA-309-A,RLA-309,Tape guide (C)
RT-1020L,Reel To Reel Tape,RLA-309-A,RLA-309,Tape guide (C)
RT-1011L,Reel To Reel Tape,RLA-310-A,RLA-310,Function button shaft
RT-1020L,Reel To Reel Tape,RLA-310-A,RLA-310,Function button shaft
RT-1011L,Reel To Reel Tape,RLA-311-B,RLA-311,Pole
RT-1020L,Reel To Reel Tape,RLA-311-0,RLA-311,Hex. pole (head assembly)
RT-1020L,Reel To Reel Tape,RLA-317-0,RLA-317,Roller arm guide
RT-1011L,Reel To Reel Tape,RLA-321-0,RLA-321,Reel base screw
RT-1020L,Reel To Reel Tape,RLA-321-0,RLA-321,Reel base screw
RT-701,Reel To Reel Tape,RLA-321,RLA-321,Reel base screw
QT-74,Reel To Reel Tape,RLA-328-0,RLA-328,Fast-forward cam collar
CT-F6161,Cassette Tape,RLA-342-0,RLA-342,Button shaft
CT-F7171,Cassette Tape,RLA-342-0,RLA-342,Button shaft
CT-F6161,Cassette Tape,RLA-343-0,RLA-343,Collar
CT-F7171,Cassette Tape,RLA-343-0,RLA-343,Collar
CT-F6161,Cassette Tape,RLA-344-0,RLA-344,Motor pulley
CT-F7171,Cassette Tape,RLA-344-0,RLA-344,Motor pulley
RT-1020L,Reel To Reel Tape,RLA-345-0,RLA-345,Drive pulley (slightly small drive pulley in diam)
RT-1011L,Reel To Reel Tape,RLA-346-0,RLA-346,Drive pulley (2)
RT-1020L,Reel To Reel Tape,RLA-346-0,RLA-346,Drive pulley (standard-size drive pulley in diam. - standard speeds)
RT-1020L,Reel To Reel Tape,RLA-347-0,RLA-347,Drive pulley (slightly large drive pulley in diam.)
RT-1011L,Reel To Reel Tape,RLA-356-A,RLA-356,Shifter pole
CT-F6161,Cassette Tape,RLA-359-0,RLA-359,Spacer
CT-F7171,Cassette Tape,RLA-359-0,RLA-359,Spacer
CT-F6161,Cassette Tape,RLA-366-0,RLA-366,Shaft A
CT-F7171,Cassette Tape,RLA-366-0,RLA-366,Shaft A
CT-F6161,Cassette Tape,RLA-367-0,RLA-367,Shaft B
CT-F7171,Cassette Tape,RLA-367-0,RLA-367,Shaft B
CT-F7171,Cassette Tape,RLA-369-0,RLA-369,Shaft
CT-F6161,Cassette Tape,RLA-389-0,RLA-389,Shaft (head base)
CT-F7171,Cassette Tape,RLA-389-0,RLA-389,Shaft (head base)
RT-1011L,Reel To Reel Tape,RLA-415-0,RLA-415,Flywheel prop (L)
RT-1011L,Reel To Reel Tape,RLA-415-0,RLA-415,Flywheel prop (R)
RT-1011L,Reel To Reel Tape,RLA-417-0,RLA-417,Pole
CT-F6161,Cassette Tape,RLA-423-0,RLA-423,Shaft
RT-1011L,Reel To Reel Tape,RLA-428-0,RLA-428,Roller arm shaft
RT-1011L,Reel To Reel Tape,RLA-429-0,RLA-429,Roller arm guide
RT-1011L,Reel To Reel Tape,RLA-433-0,RLA-433,Stepped washer
RT-1011L,Reel To Reel Tape,RLA-433-0,RLA-433,Stepped washer
RT-1011L,Reel To Reel Tape,RLA-435-0,RLA-435,Solenoid shaft
CT-F9191,Cassette Tape,RLA-466,RLA-466,Pulley
CT-F6262,Cassette Tape,RLA-499,RLA-499,Collar
CT-F8282,Cassette Tape,RLA-549,RLA-549,Shaft
CT-F6262,Cassette Tape,RLA-601,RLA-601,Motor pulley
CT-F7272,Cassette Tape,RLA-601,RLA-601,Pulley
CT-F6262,Cassette Tape,RLA-602,RLA-602,Operating lever shaft
CT-F7272,Cassette Tape,RLA-602,RLA-602,Shaft
RT-707,Reel To Reel Tape,RLA-647,RLA-647,Pinch arm shaft
RT-707,Reel To Reel Tape,RLA-652,RLA-652,Spring retainer B
RT-701,Reel To Reel Tape,RLA-653,RLA-653,Housing Stud
RT-707,Reel To Reel Tape,RLA-655,RLA-655,Tape guide B
RT-701,Reel To Reel Tape,RLA-656,RLA-656,Tape guide C
RT-707,Reel To Reel Tape,RLA-657,RLA-657,Spring hook
RT-707,Reel To Reel Tape,RLA-658,RLA-658,Pin
RT-707,Reel To Reel Tape,RLA-659,RLA-659,Arm pin A
RT-707,Reel To Reel Tape,RLA-668,RLA-668,Oil cap B
RT-707,Reel To Reel Tape,RLA-669,RLA-669,Oil cap A
CT-F700,Cassette Tape,RLA-724,RLA-724,Pulley
RT-701,Reel To Reel Tape,RLA-736,RLA-736,Tape guide A
RT-707,Reel To Reel Tape,RLA-740,RLA-740,Stopper boss
