model,category,part_number,normalized_part_number,description
SG-9,Equalizer,AAD-178,AAD-178,Knob (POWER)
SG-9,Equalizer,AAD-179,AAD-179,"Knob (ATTENUATOR,EQUALIZER,TAPE MONITOR)"
SG-9,Equalizer,AAD-181,AAD-181,Knob (OCTAVE CONTROL)
SG-9,Equalizer,ACG-001,ACG-001,Ceramic capacitor (0.01/AC 250V) - KU
SG-9,Equalizer,ACG-001,ACG-001,Ceramic capacitor (0.01/AC 250V) - R
SG-9,Equalizer,ACG-001,ACG-001,Ceramic capacitor (0.01/AC 250V) - R/G
SG-9,Equalizer,ACG-017,ACG-017,Ceramic capacitor (0.01/AC125V) - KC
SG-9,Equalizer,ACX-005,ACX-005,Variable resistor 8k (with LED)
SG-9,Equalizer,ACX-005,ACX-005,Variable resistor 8k (with LED)
SG-9,Equalizer,ADE-005,ADE-005,Connection cord
SG-9,Equalizer,ADG-046,ADG-046,AC power cord - R
SG-9,Equalizer,ADG-046,ADG-046,AC power cord - R/G
SG-9,Equalizer,ADG-052,ADG-052,AC power cord - KC
SG-9,Equalizer,ADG-052,ADG-052,AC power cord - KU
SG-9,Equalizer,AEC-178,AEC-178,Foot assembly
SG-9,Equalizer,AEC-327,AEC-327,Strain relief
SG-9,Equalizer,AEL-324,AEL-324,LED (OVERLOAD)
SG-9,Equalizer,AEL-324,AEL-324,LED (TAPE MONITOR)
SG-9,Equalizer,AEL-324,AEL-324,LED(SPEAKER/TAPE MONITOR)
SG-9,Equalizer,AEL-325,AEL-325,LED (POWER)
SG-9,Equalizer,AEL-325,AEL-325,LED(POWER)
SG-9,Equalizer,AHA-295,AHA-295,Side pad
SG-9,Equalizer,AHB-103,AHB-103,Spacer - R/G
SG-9,Equalizer,AHD-941,AHD-941,Packing case - KU
SG-9,Equalizer,AHD-941,AHD-941,Packing case - R
SG-9,Equalizer,AHD-942,AHD-942,Packing case - R/G
SG-9,Equalizer,AHD-958,AHD-958,Packing case - KC
SG-9,Equalizer,AKB-063,AKB-063,"Terminal (EQUALIZER,TAPE)"
SG-9,Equalizer,AKP-038,AKP-038,AC socket (AC OUTLET)
SG-9,Equalizer,AKX-063,AKX-063,Line voltage selector - R
SG-9,Equalizer,AKX-063,AKX-063,Line voltage selector - R/G
SG-9,Equalizer,ANE-351,ANE-351,Top cover
SG-9,Equalizer,ANM-055,ANM-055,Front panel assembly
SG-9,Equalizer,ARB-428,ARB-428,Operating instructions  SG-9 - KC
SG-9,Equalizer,ARB-428,ARB-428,Operating instructions  SG-9 - KU
SG-9,Equalizer,ARB-433,ARB-433,Operating instructions  SG-9 - R/G
SG-9,Equalizer,ARE-019,ARE-019,Operating instructions  SG-9 - R
SG-9,Equalizer,ARP-030,ARP-030,Service manual  SG-9
SG-9,Equalizer,ASG-212,ASG-212,Push switch 3-ganged (EQUALIZER)
SG-9,Equalizer,ASG-213,ASG-213,Push switch dual (ATTENUATOR)
SG-9,Equalizer,ASG-214,ASG-214,Push switch (TAPE MONITOR)
SG-9,Equalizer,ASG-520,ASG-520,Push switch (POWER)  - R
SG-9,Equalizer,ASG-520,ASG-520,Push switch (POWER)  - R/G
SG-9,Equalizer,ASG-521,ASG-521,Push switch (POWER)  - KC
SG-9,Equalizer,ASG-521,ASG-521,Push switch (POWER)  - KU
SG-9,Equalizer,ATT-591,ATT-591,Power transformer (120V) - KU
SG-9,Equalizer,ATT-592,ATT-592,"Power transformer (110V-120V,220V-240V) - R"
SG-9,Equalizer,ATT-592,ATT-592,"Power transformer (110V-120V,220V-240V) - R/G"
SG-9,Equalizer,ATT-597,ATT-597,Power transformer (120V) - KC
SG-9,Equalizer,GWM-132,GWM-132,AF amplifier assembly
SG-9,Equalizer,GWX-298,GWX-298,Volume assembly 1
SG-9,Equalizer,GWX-299,GWX-299,Volume assembly 2
SG-90,Equalizer,AAB-345,AAB-345,Knob (INPUT LEVEL)
SG-90,Equalizer,AAD-302,AAD-302,"Knob (EQ LEVEL,EQ CHRACTER)"
SG-90,Equalizer,AAD-700,AAD-700,Knob (POWER)
SG-90,Equalizer,AAD-701,AAD-701,"Knob A (LINE OUT SELECTOR, INPUT SELCTOR)"
SG-90,Equalizer,AAD-702,AAD-702,Knob B (AUTO FADER)
SG-90,Equalizer,AAD-703,AAD-703,Knob (SLIDER)
SG-90,Equalizer,ACG-001,ACG-001,"Ceramic 0.01/AC250V (S,S/G)"
SG-90,Equalizer,ACG-502,ACG-502,Ceramic 0.01/AC125V (KU)
SG-90,Equalizer,ACT-185,ACT-185,Variable 10k (INPUT LEVEL)
SG-90,Equalizer,ACX-017,ACX-017,"Variable 300k (GRAPHIC EQUALIZER CONTROLS L,R)"
SG-90,Equalizer,ADG-052,ADG-052,AC power cord (KU)
SG-90,Equalizer,ADG-060,ADG-060,"AC power cord (S,S/G)"
SG-90,Equalizer,AEL-383,AEL-383,LED (Green)
SG-90,Equalizer,AEL-388,AEL-388,LED (Red)
SG-90,Equalizer,AEL-388,AEL-388,LED(STEREO/POWER)
SG-90,Equalizer,AEL-420,AEL-420,LED (C range)
SG-90,Equalizer,AEL-420,AEL-420,LED (Orange)
SG-90,Equalizer,AHE-246,AHE-246,"Packing case (KU,S)"
SG-90,Equalizer,AHE-247,AHE-247,Packing case (SG)
SG-90,Equalizer,AKB-095,AKB-095,"Terminal (EQUALIZER,TAPE 1, TAPE 2)"
SG-90,Equalizer,AKP-038,AKP-038,AC socket
SG-90,Equalizer,AKX-063,AKX-063,"Line voltage selector (S,S/G)"
SG-90,Equalizer,ANE-458,ANE-458,Bonnet
SG-90,Equalizer,ANM-451,ANM-451,Front panel assembly
SG-90,Equalizer,ANR-295,ANR-295,Switch rod
SG-90,Equalizer,ARC-060,ARC-060,Operating instructions (S - Spanish)
SG-90,Equalizer,ARP-342,ARP-342,Service manual SG90
SG-90,Equalizer,ASG-345,ASG-345,Push switch (INPUT SELECTOR)
SG-90,Equalizer,ASG-346,ASG-346,Push switch (AUTO FADER)
SG-90,Equalizer,ASG-541,ASG-541,Push switch (POWER)
