model,category,part_number,normalized_part_number,description
CT-F900,Cassette Tape,RXX-235,RXX-235,Front panel assembly
CT-F900,Cassette Tape,RXX-236,RXX-236,Indicator lens assembly
CT-F950,Cassette Tape,RXX-251,RXX-251,Front panel assembly
CT-F950,Cassette Tape,RXX-252,RXX-252,Indicator lens assembly
CT-F850,Cassette Tape,RXX-253,RXX-253,Escutcheon assembly
CT-F1250,Cassette Tape,RXX-259,RXX-259,Front panel assembly
CT-F1250,Cassette Tape,RXX-260,RXX-260,Head cover assernbly
CT-F1250,Cassette Tape,RXX-261,RXX-261,Escutcheon assembly
CT-F1250,Cassette Tape,RXX-262,RXX-262,Escutcheon panel assembly
CT-F1250,Cassette Tape,RXX-263,RXX-263,Indicator assembly
RT-909,Reel To Reel Tape,RXX-265,RXX-265,Tension roller assembly L
RT-909,Reel To Reel Tape,RXX-266,RXX-266,Tension roller assembly R
RT-909,Reel To Reel Tape,RXX-267,RXX-267,Control A assembly
RT-909,Reel To Reel Tape,RXX-268,RXX-268,Front panel assembly
CT-F750,Cassette Tape,RXX-269,RXX-269,Front panel assembly
CT-F1050,Cassette Tape,RXX-302,RXX-302,Capstan motor assembly
CT-F1050,Cassette Tape,RXX-303,RXX-303,Reel motor assembly
CT-F1050,Cassette Tape,RXX-304,RXX-304,Cassette plate assembly
CT-F1050,Cassette Tape,RXX-305,RXX-305,Front panel assembly
CT-F1050,Cassette Tape,RXX-308,RXX-308,PLAY button assembly
CT-F1050,Cassette Tape,RXX-309,RXX-309,PAUSE button assembly
CT-F1050,Cassette Tape,RXX-310,RXX-310,REC button assembly
CT-F1050,Cassette Tape,RXX-311,RXX-311,MUTE button assembly
CT-F1050,Cassette Tape,RXX-312,RXX-312,STOP button assembly
CT-F1050,Cassette Tape,RXX-313,RXX-313,FAST button assembly
CT-F950,Cassette Tape,RYM-073,RYM-073,Mechanism assembly
CT-F7272,Cassette Tape,RYY-003,RYY-003,Dolby module
SX-6000,Receiver,S11 -016-A,S11 -016,Power Switch
SX-1000TA (Later),Receiver,S11-014,S11-014,Power Switch
SX-700T,Receiver,S11-014-A,S11-014,Power Switch
TX-500,Tuner,S11-014,S11-014,SWITCH(MPX FILTER/NOISE SLO)
QX-4000,Receiver,S11-016-A,S11-016,Power switch FW model
QX-646,Receiver,S11-016-B,S11-016,Power switch (FW model)
SA-500,Integrated Amplifier,S11-016-A,S11-016,Power Switch (FV)
SR-202W,Reverb,S11-016-A,S11-016,Power Switch
SX-440,Receiver,S11-016-A,S11-016,Power Switch
TX-500,Tuner,S11-016,S11-016,SWITCH(POWER)
TX-700,Tuner,S11-016,S11-016,SWITCH(POWER)
SA-500,Integrated Amplifier,S11-018-O,S11-018,Line Voitage Selector
SA-700,Integrated Amplifier,S11-018-0,S11-018,Line Voltage Selector
SA-900,Integrated Amplifier,S11-018-0,S11-018,LINE VOLTAGE Selector
SD-1000,Other,S11-018-O,S11-018,Line voltage selector
SR-202W,Reverb,S11-018-0,S11-018,Line Voltage Selector
SX-1000TD,Receiver,S11-018-0,S11-018,LINE VOLTAGE SELECTOR
SX-1000TW,Receiver,S11-018-0,S11-018,LINE VOLTAGE SELECTOR
SX-1500T,Receiver,S11-018-0,S11-018,LINE VOLTAGE SELECTOR (F)
SX-1500TD,Receiver,S11-018-0,S11-018,LINE VOLTAGE Selector
SX-2500,Receiver,S11-018-0,S11-018,LINE VOLTAGE SELECTOR
SX-440,Receiver,S11-018-0,S11-018,Line Voltage Selector
SX-9000,Receiver,S11-018-0,S11-018,Line Voltage Selector
SX-990,Receiver,S11-018-O,S11-018,LINE VOLTAGE Selector
SX-1500T,Receiver,S11-019-0,S11-019,Output Selector
SX-1000TD,Receiver,S11-020-0,S11-020,Output Selector
SX-1000TW,Receiver,S11-020-0,S11-020,Output Selector
SX-1500T,Receiver,S11-020-0,S11-020,Output Selector (F)
SA-1000,Integrated Amplifier,S11-022-A,S11-022,Speaker selector with AC switch (FVW model)
SA-700,Integrated Amplifier,S11-022-A,S11-022,Output Selector
SX-2500,Receiver,S11-022-A,S11-022,OUTPUT SELECTOR & POWER Switch
SX-770,Receiver,S11-022-A,S11-022,Output Selector
SX-9000,Receiver,S11-022-A,S11-022,Slide Switch
SX-990,Receiver,S11-022-A,S11-022,SPEAKERS Switch
