model,category,part_number,normalized_part_number,description
A-7,Integrated Amplifier,ANR-333,ANR-333,Cover
A-9,Integrated Amplifier,ANR-334,ANR-334,Display cover
A-7,Integrated Amplifier,ANR-340,ANR-340,Hinge (L)
A-9,Integrated Amplifier,ANR-340,ANR-340,Hinge L
A-7,Integrated Amplifier,ANR-341,ANR-341,Hinge (R)
A-9,Integrated Amplifier,ANR-341,ANR-341,Hinge R
SX-5,Receiver,ANR-407,ANR-407,Display cover
SX-6,Receiver,ANR-408,ANR-408,Display cover
SX-4,Receiver,ANR-432,ANR-432,Case cover
SX-5,Receiver,ANR-432,ANR-432,Case cover
SX-6,Receiver,ANR-432,ANR-432,Case cover
SX-6,Receiver,ANR-450,ANR-450,Slider assembly
SX-7,Receiver,ANR-450,ANR-450,Slider assembly
SX-8,Receiver,ANR-450,ANR-450,Slider assembly
SX-4,Receiver,ANR-454,ANR-454,Display cover
SX-5,Receiver,ANR-455,ANR-455,Slider assembly
SX-7,Receiver,ANR-459,ANR-459,Display cover
SX-8,Receiver,ANR-491,ANR-491,Display cover
TX-930,Tuner,ANR-514,ANR-514,Card holder
TX-930,Tuner,ANR-515,ANR-515,Front base assembly
TX-130L,Tuner,ANR-522,ANR-522,Panel stay assembIy
A-77X,Integrated Amplifier,ANY-048,ANY-048,Front panel assembly (black) - HB
A-77X,Integrated Amplifier,ANY-048,ANY-048,Front panel assembly (black) - HE
A-77X,Integrated Amplifier,ANY-048,ANY-048,Front panel assembly (black) - KU
A-77X,Integrated Amplifier,ANY-048,ANY-048,Front panel assembly (black) - S
A-77X,Integrated Amplifier,ANY-048,ANY-048,Front panel assembly (black) - S/G
A-77X,Integrated Amplifier,ANY-052,ANY-052,Front panel assembly (silver) - HE
A-66X,Integrated Amplifier,ANY-091,ANY-091,Front panel assembly (Silver)
A-66X,Integrated Amplifier,ANY-092,ANY-092,Front panel assembly (Black)
SX-1000TA (Early),Receiver,AP2109,AP2109,Terminal 2P
SX-1000TA (Early),Receiver,AP2213,AP2213,Terminal 6P
SX-1000TA (Early),Receiver,AP3111,AP3111,Terminal 3P antenna
SX-1000TA (Early),Receiver,AR0004,AR0004,10K MPX Separation Control
SX-1000TA (Early),Receiver,AR0015,AR0015,50K Muting Level Adjust
SX-1000TA (Early),Receiver,AR0022,AR0022,1K Left Right Level Adjust
SX-1000TA (Early),Receiver,AR0024,AR0024,30K Auto Level Adjust
SX-1000TA (Early),Receiver,AR0026,AR0026,300Ω Current control
SX-1000TA (Early),Receiver,AR0026,AR0026,300Ω Current control
DT-400,Timer,AR2132D,AR2132D,LED
SX-1000TA (Early),Receiver,AR8549,AR8549,500K dual. Volume
SX-1000TA (Early),Receiver,AR8552,AR8552,50K dual. Balance
SX-1000TA (Early),Receiver,AR8718,AR8718,100K dual. Bass
SX-1000TA (Early),Receiver,AR8718,AR8718,100K dual. Treble
SD-1000,Other,ARB-001-O,ARB-001,Operating instructions
SA-1000,Integrated Amplifier,ARB-002-A,ARB-002,Operating instructions (KUW model)
SA-1000,Integrated Amplifier,ARB-003-A,ARB-003,Operating instructions (FVW model)
QX-8000,Receiver,ARB-006-0,ARB-006,Operating Instructions QX-8000
SX-6000,Receiver,ARB-007-0,ARB-007,Operating Instructions SX-6000
TX-1000,Tuner,ARB-009,ARB-009,O/M TX-1000
SA-800,Integrated Amplifier,ARB-010-0,ARB-010,Operating instructions SA-800
SA-800,Integrated Amplifier,ARB-011-0,ARB-011,Operating instructions SA-800 (KUW/KCW)
SA-600,Integrated Amplifier,ARB-012-0,ARB-012,Operating instructions
QC-800,Pre-Amplifier,ARB-013-0,ARB-013,Operating instructions QC-800
QA-800,Integrated Amplifier,ARB-014-0,ARB-014,Operating instructions QA-800
QC-800A,Pre-Amplifier,ARB-016-0,ARB-016,Operating instructions QC-800A
QM-800,Amplifier,ARB-018-0,ARB-018,Operating instructions QM-800
TX-600,Tuner,ARB-021,ARB-021,O/M TX-600
QX-8000A,Receiver,ARB-028-0,ARB-028,Operating instructions (KUW) QX-8000A
QL-600,Integrated Amplifier,ARB-035-0,ARB-035,Operating Instructions
TX-500A,Tuner,ARB-036,ARB-036,O/M TX-500A
SA-500A,Integrated Amplifier,ARB-039-O,ARB-039,Operating Instructions (KC/FV)
SA-500A,Integrated Amplifier,ARB-040-O,ARB-040,Operating Instructions (KU)
SX-525,Receiver,ARB-042-0,ARB-042,Operating instructions SX-525
SX-626 (1971),Receiver,ARB-044-0,ARB-044,Operating instructions SX-626 (1971)
SX-727,Receiver,ARB-045-0,ARB-045,Operating instructions SX-727
SX-828,Receiver,ARB-049-0,ARB-049,Operating instructions SX-828
SX-424,Receiver,ARB-054-0,ARB-054,Operanng instructions
QD-210,Other,ARB-055,ARB-055,O/M QD-210
QM-800A,Amplifier,ARB-056-0,ARB-056,Operating instructions QM-800A
QL-600A,Integrated Amplifier,ARB-057-0,ARB-057,Operating instructions
QX-8000A,Receiver,ARB-058-0,ARB-058,"Operating instructions (KUW,FW,FSAW) QX-8000A"
QA-800A,Integrated Amplifier,ARB-060-0,ARB-060,Operating instructions QA-800A
QX-4000,Receiver,ARB-063-0,ARB-063,Operating instructions QX-4000
QX-9900,Receiver,ARB-065-0,ARB-065,Operating instructions copy QX-9900
SD-1100,Other,ARB-066-0,ARB-066,Operating instructions
SA-7100,Integrated Amplifier,ARB-068-0,ARB-068,Operating instructions SA-7100
SA-8100,Integrated Amplifier,ARB-069-0,ARB-069,Operating instructions SA-8100
TX-7100,Tuner,ARB-071-0,ARB-071,OPERATING INSTRUCTIONS  TX-7100
TX-8100,Tuner,ARB-072-0,ARB-072,Operating instructions TX-8100
TX-9100,Tuner,ARB-073-0,ARB-073,Operating instructions  TX-9100
SA-5200,Integrated Amplifier,ARB-076-0,ARB-076,Operating instructions  SA-5200
TX-6200,Tuner,ARB-077,ARB-077,Operation instruction TX-6200
QD-240,Other,ARB-080,ARB-080,O/M QD-240
QX-646,Receiver,ARB-081-0,ARB-081,Operating instructions QX-646
QX-949,Receiver,ARB-087-0,ARB-087,Operating instructions QX-949
QX-747,Receiver,ARB-088-0,ARB-088,OPERATING INSTRUCTIONS QX-747
SX-939,Receiver,ARB-099-0,ARB-099,Operating instructions SX-939
SX-737,Receiver,ARB-105-0,ARB-105,Operating instructions SX-737 (English)
SX-636,Receiver,ARB-107-0,ARB-107,Operating instructions SX-636 (English)
Exclusive M3,Amplifier,ARB-125-A,ARB-125,Operating instructions Exclusive M3
SA-9900,Integrated Amplifier,ARB-129-0,ARB-129,Operating Instructions SA-9900 (KCU)
TX-5300,Tuner,ARB-130,ARB-130,O/M TX-5300
TX-9500,Tuner,ARB-132,ARB-132,Operating instructions TX-9500
QX-949A,Receiver,ARB-133,ARB-133,Operation manual QX-949A
TX-7500,Tuner,ARB-135,ARB-135,O/M TX-7500 * (NLA)
QX-747A,Receiver,ARB-142,ARB-142,Operating instructions  QX-747A
SA-9900,Integrated Amplifier,ARB-143-0,ARB-143,Operating instructions SA-9900 (English)
TX-9500,Tuner,ARB-148-0,ARB-148,Operating instructions (English)
RG-1,Dynamic Range Expander,ARB-158-C,ARB-158,Operating Instructions RG-1
SG-9500,Equalizer,ARB-159,ARB-159,Operating instructions SG-9500
TX-6500,Tuner,ARB-160,ARB-160,O/M TX-6500/2
SX-1250,Receiver,ARB-164,ARB-164,Operating instructions-English SX-1250 (KCU)
SPEC-2,Amplifier,ARB-167,ARB-167,Operating Instructions SPEC-2
SX-1250,Receiver,ARB-168,ARB-168,Operating instructions-English SX-1250 (S)
SPEC-1,Pre-Amplifier,ARB-169,ARB-169,Operating Instructions SPEC-1
SX-1250,Receiver,ARB-171,ARB-171,Operating instructions-English SX-1250 (HG)
SX-850,Receiver,ARB-175,ARB-175,Operating Instructions SX-850
SX-850,Receiver,ARB-175,ARB-175,Service Manual SX-850
SX-550,Receiver,ARB-182,ARB-182,Operating instructions SX-550
SX-550,Receiver,ARB-183,ARB-183,Operating instructions SX-550 (Engish - S)
SX-450,Receiver,ARB-185,ARB-185,Operating instructions SX-450 (English-KU/KC)
SX-650,Receiver,ARB-186,ARB-186,Operating instructions English  SX-650 - KCU
SX-650,Receiver,ARB-187,ARB-187,Operating instructions English  SX-650 - HG
SX-450,Receiver,ARB-191,ARB-191,Operating instructions SX-450 (English-S)
SX-450,Receiver,ARB-193,ARB-193,Operating instructions SX-450 (English-HG)
SX-650,Receiver,ARB-195,ARB-195,Operating instructions English  SX-650 - S
TX-8500II,Tuner,ARB-204,ARB-204,"Operating instructions  TX-8500II (English) - KU,KC"
SA-8500II,Integrated Amplifier,ARB-205,ARB-205,Operating instructions  SA-8500II (English-KC)
SA-8500II,Integrated Amplifier,ARB-205,ARB-205,Operating instructions  SA-8500II (English-KU)
TX-6500II,Tuner,ARB-206,ARB-206,"Operating instructions (English -  KU,KC)  TX-6500II"
TX-9500II,Tuner,ARB-207,ARB-207,Operating instructions (English - KU/KC)
SA-9500II,Integrated Amplifier,ARB-208,ARB-208,Operating instructions (KU/KC - English)
TX-5500II,Tuner,ARB-209,ARB-209,O/M TX-5500/2
TX-8500II,Tuner,ARB-212,ARB-212,Operating instructions  TX-8500II (English) - HG
TX-8500II,Tuner,ARB-213,ARB-213,Operating instructions  TX-8500II (English) - S
TX-6500II,Tuner,ARB-214,ARB-214,Operating instructions (English -  HG)  TX-6500II
SA-8500II,Integrated Amplifier,ARB-216,ARB-216,Operating instructions  SA-8500II (English-HG)
SA-8500II,Integrated Amplifier,ARB-216,ARB-216,Operating instructions  SA-8500II (English-S)
TX-9500II,Tuner,ARB-218,ARB-218,Operating instructions (English - HG)
TX-9500II,Tuner,ARB-219,ARB-219,Operating instructions (English - S)
SA-9500II,Integrated Amplifier,ARB-220,ARB-220,Operating instructions (HG - English)
SA-9500II,Integrated Amplifier,ARB-220,ARB-220,Operating instructions (S - English)
TX-6500II,Tuner,ARB-225,ARB-225,Operating instructions (English -  S)  TX-6500II
C-21,Pre-Amplifier,ARB-230,ARB-230,O/M C-21
C-21,Pre-Amplifier,ARB-230,ARB-230,Operating instructions  C-21
M-22,Amplifier,ARB-231,ARB-231,Operating instructions M-22
SPEC-4,Amplifier,ARB-235,ARB-235,Operating Instructions SPEC-4
TX-606,Tuner,ARB-254,ARB-254,O/M TX-6700
TX-6700,Tuner,ARB-254,ARB-254,O/M TX-6700
SA-606,Integrated Amplifier,ARB-258,ARB-258,"Operating instructions SA-606 (ENGLISH - S,S/G,HG)"
SA-7700,Integrated Amplifier,ARB-260,ARB-260,Operating instructions SA-7700
SA-706,Integrated Amplifier,ARB-261,ARB-261,"Operating instructions SA-706 (English -S,S/G,HG)"
M-25,Amplifier,ARB-266,ARB-266,Operating instructions M-25
SX-580/590,Receiver,ARB-267,ARB-267,Operating instructions (ENGLISH) (SX-580/KU)
SX-680/690,Receiver,ARB-268,ARB-268,Operating instructions (English) (SX-680/KU)
SX-680/690,Receiver,ARB-268,ARB-268,Operating instructions (KC type)
SX-880/890,Receiver,ARB-272,ARB-272,Operating instructions (SX-880/KC)
SX-880/890,Receiver,ARB-272,ARB-272,Operating instructions (SX-880/KU)
SX-880/890,Receiver,ARB-273,ARB-273,Operating instructions (SX-880/S)
SX-880/890,Receiver,ARB-273,ARB-273,Operating instructions (SX-880/SG)
SX-580/590,Receiver,ARB-275,ARB-275,Operating instructions (ENGLISH) (SX-590/HG)
