model,category,part_number,normalized_part_number,description
PL-A45,Turntable,ART-008-A,ART-008,Service manual  PL-A45
PL-A45,Turntable,B11-054-C,B11-054,Screw
PL-A45,Turntable,B21-659-0,B21-659,Spacer
PL-A45,Turntable,B21-661-0,B21-661,Washer
PL-A45,Turntable,B22-026-0,B22-026,Washer
PL-A45,Turntable,B22-612-0,B22-612,Retaining washer E-type
PL-A45,Turntable,B22-612-0,B22-612,Washer (M)
PL-A45,Turntable,B22-642-0,B22-642,Washer
PL-A45,Turntable,B22-643-0,B22-643,Washer
PL-A45,Turntable,B22-650-0,B22-650,Washer
PL-A45,Turntable,B23-629-0,B23-629,Teflon washer
PL-A45,Turntable,B23-642-0,B23-642,Washer
PL-A45,Turntable,B23-642-0,B23-642,Washer
PL-A45,Turntable,B31-026-B,B31-026,Spring
PL-A45,Turntable,B31-028-B,B31-028,Spﬂng
PL-A45,Turntable,B31-029-B,B31-029,Spring
PL-A45,Turntable,B31-645-A,B31-645,Spring
PL-A45,Turntable,B31-745-B,B31-745,Spring
PL-A45,Turntable,B31-746-0,B31-746,Spring
PL-A45,Turntable,B31-748-0,B31-748,Spring
PL-A45,Turntable,B31-749-B,B31-749,Sprng
PL-A45,Turntable,B33-603-0,B33-603,Shaft
PL-A45,Turntable,B33-608-B,B33-608,Spring
PL-A45,Turntable,B33-609-A,B33-609,Spring
PL-A45,Turntable,B33-635-A,B33-635,Spring
PL-A45,Turntable,B71-625-A,B71-625,Nut
PL-A45,Turntable,B71-636-0,B71-636,Nut
PL-A45,Turntable,B71-656-B,B71-656,Nut
PL-A45,Turntable,E11-125-A,E11-125,Screwdriver
PL-A45,Turntable,E31-147-0,E31-147,Foot
PL-A45,Turntable,E31-173-A,E31-173,Rubber cushion
PL-A45,Turntable,E31-605-A,E31-605,Rubber cushion
PL-A45,Turntable,E31-736-A,E31-736,Rubber cushion
PL-A45,Turntable,E31-743-0,E31-743,Rubber grommet (A)
PL-A45,Turntable,E31-744-0,E31-744,Rubber grommet (B)
PL-A45,Turntable,E31-744-0,E31-744,Rubber grommet (B)
PL-A45,Turntable,E32-056-0,E32-056,AC cord grommet
PL-A45,Turntable,E33-625-0,E33-625,Buffer
PL-A45,Turntable,H52-632-0,H52-632,Cardboard
PL-A45,Turntable,H56-603-0,H56-603,Bag for unit
PL-A45,Turntable,K16-602-0,K16-602,Cable cramp
PL-A45,Turntable,K28-003-0,K28-003,Terminal (A)
PL-A45,Turntable,K28-005-A,K28-005,Terminal (C)
PL-A45,Turntable,KAA-008-A,KAA-008,Anti-skating knob
PL-A45,Turntable,KAH-003-0,KAH-003,Rubber mat ring
PL-A45,Turntable,KBA-022-0,KBA-022,Screw
PL-A45,Turntable,KBA-025-0,KBA-025,Motor set screw
PL-A45,Turntable,KBH-027-B,KBH-027,Spring
PL-A45,Turntable,KBH-040-0,KBH-040,Spring
PL-A45,Turntable,KDA-006-0,KDA-006,Cable
PL-A45,Turntable,KDE-022-B,KDE-022,Output cord
