model,category,part_number,normalized_part_number,description
SX-60,Receiver,GWX-905,GWX-905,Control assembly
SX-50,Receiver,GWX-909,GWX-909,Control assembly
SG-90,Equalizer,GWX-918,GWX-918,Equalizer assembly
RG-60,Dynamic Range Expander,GWX-964,GWX-964,Pin jack asembly
A-88X,Integrated Amplifier,GWY-106,GWY-106,Pin jack assembly
A-77X,Integrated Amplifier,GWY-107,GWY-107,Pin jack assembly
A-88X,Integrated Amplifier,GWY-110,GWY-110,Volume assembly
A-77X,Integrated Amplifier,GWY-111,GWY-111,Volume assembly
QL-600,Integrated Amplifier,H11-034-C,H11-034,Protector for Packing
QL-600A,Integrated Amplifier,H11-034-0,H11-034,Styrotector
SA-500A,Integrated Amplifier,H11-038-C,H11-038,Styrotector
SX-2500,Receiver,H11-065-O,H11-065,Pad (Upper)
SX-2500,Receiver,H11-066-O,H11-066,Pad (Under)
QA-800,Integrated Amplifier,H11-070-B,H11-070,Protector for packing
QA-800A,Integrated Amplifier,H11-070-C,H11-070,Styrotector
QC-800,Pre-Amplifier,H11-070-B,H11-070,Protector for Packing
QC-800A,Pre-Amplifier,H11-070-C,H11-070,Styrotector
QM-800,Amplifier,H11-070-B,H11-070,Protector for packing
QM-800A,Amplifier,H11-070-C,H11-070,Styrotector
SA-1000,Integrated Amplifier,H11-070-B,H11-070,Styrol
SA-600,Integrated Amplifier,H11-070-B,H11-070,Styrotector
SA-7100,Integrated Amplifier,H11-070-D,H11-070,Styrotector
SA-800,Integrated Amplifier,H11-070-B,H11-070,Protector for packing
SA-9100,Integrated Amplifier,H11-070-0,H11-070,Styrotector
SD-1000,Other,H11-070-0,H11-070,STYROL
SD-1100,Other,H11-070-D,H11-070,Styrotector
TX-9100,Tuner,H11-070-C,H11-070,Styrotector (lower)
SA-1000,Integrated Amplifier,H11-078-O,H11-078,Cardboard cushion
SA-5200,Integrated Amplifier,H12-113-0,H12-113,Soft sheet-C
SA-500A,Integrated Amplifier,H12-126-A,H12-126,Soft Paper
SA-500A,Integrated Amplifier,H12-159-0,H12-159,Cardboard Spacer
SX-2500,Receiver,H14-023-O,H14-023,Packing Cloth Bag
SA-500A,Integrated Amplifier,H14-044-0,H14-044,Vinyl Bag
SX-2500,Receiver,H15-114-O,H15-114,Packing Case
RT-707,Reel To Reel Tape,H46-853,H46-853,Vinyl bag
RT-909,Reel To Reel Tape,H46-853,H46-853,Vinyl bag B
CT-F1050,Cassette Tape,H46-854,H46-854,Vinyl bag C (for fuse)
CT-F700,Cassette Tape,H46-854,H46-854,Vinyl bag (for fuse) (D type)
CT-F700,Cassette Tape,H46-854,H46-854,Vinyl bag (for fuse) (D/G type)
RT-1020L,Reel To Reel Tape,H46-856-0,H46-856,Silica gel
PL-25/F,Turntable,H51-601 -A,H51-601 ,Packing
PL-25/F,Turntable,H52-623-B,H52-623,Carton (A)
PL-25/F,Turntable,H52-623-B,H52-623,Carton (B)
PL-12DII,Turntable,H52-632-0,H52-632,Card board
PL-12E,Turntable,H52-632-0,H52-632,Cardboard
PL-15D,Turntable,H52-632-0,H52-632,Cardboard
PL-51,Turntable,H52-632-0,H52-632,Card board
PL-51A,Turntable,H52-632-0,H52-632,Card board
PL-A45,Turntable,H52-632-0,H52-632,Cardboard
PL-A45D,Turntable,H52-632-0,H52-632,Cardboard
PL-A25,Turntable,H52-647-A,H52-647,Carton box
PL-A25,Turntable,H52-647-A,H52-647,Carton box
PL-A25,Turntable,H52-647-A,H52-647,Case for turntable platter
PL-A25,Turntable,H52-647-A,H52-647,Corner packing
PL-A25,Turntable,H52-647-A,H52-647,Tonearm protector
PL-A25,Turntable,H52-647-A,H52-647,Top packing
PL-A25,Turntable,H52-647-A,H52-647,Under packing
PL-25/F,Turntable,H53-627-B,H53-627,Carton
PL-25/F,Turntable,H53-627-B,H53-627,Packing
PL-50,Turntable,H55-002-8,H55-002,Top packing
PL-50,Turntable,H55-002-8,H55-002,Under packing
PL-50,Turntable,H55-002-B,H55-002,Carton
PL-50,Turntable,H55-002-B,H55-002,Dust cover Packing
PL-50,Turntable,H55-002-B,H55-002,Packing
PL-50,Turntable,H55-002-B,H55-002,Tumtable platter packing
PL-12DII,Turntable,H56-603-0,H56-603,Vinyl bag
PL-12E,Turntable,H56-603-0,H56-603,Turntable bag
PL-15D,Turntable,H56-603-0,H56-603,Vinyl cover
PL-200/200X,Turntable,H56-603,H56-603,Vinyl bag
PL-25/F,Turntable,H56-603-0,H56-603,Wooden base cover bag
PL-500,Turntable,H56-603,H56-603,Vinyl bag
PL-500X,Turntable,H56-603,H56-603,Vinyl bag
PL-51,Turntable,H56-603-0,H56-603,Vinyl cover
PL-510,Turntable,H56-603,H56-603,Vinyl cover
PL-510S,Turntable,H56-603,H56-603,Vinyl cover
PL-516,Turntable,H56-603,H56-603,Vinyl cover
PL-51A,Turntable,H56-603-0,H56-603,Vinyl cover
PL-520,Turntable,H56-603,H56-603,Cover
PL-55X,Turntable,H56-603-0,H56-603,Vinyl bag
PL-71,Turntable,H56-603-0,H56-603,Vinyl bag
PL-A45,Turntable,H56-603-0,H56-603,Bag for unit
PL-A45D,Turntable,H56-603-0,H56-603,Bag for unit
PL-25/F,Turntable,H61-601-0,H61-601,Rubber foot
TX-710,Tuner,HA1142,HA1142,IC
RG-60,Dynamic Range Expander,HA12010,HA12010,IC(METER)
RG-9,Dynamic Range Expander,HA12010,HA12010,IC(METER)
SA-8100,Integrated Amplifier,HII-070-0,HII-070,Styrotector
TX-7100,Tuner,HII-070-0,HII-070,STYROTECTOR (LOWER)
PL-115D,Turntable,HNV-135,HNV-135,45 EP ADAPTER
PL-200X,Turntable,HNV-135,HNV-135,45 EP ADAPTER
CT-F1000,Cassette Tape,HWX-176,HWX-176,Indicator assembly
CT-F1000,Cassette Tape,HWX-181,HWX-181,Volume assembly
RT-701,Reel To Reel Tape,HXM-033,HXM-033,Capstan motor
RT-909,Reel To Reel Tape,HXX-268,HXX-268,Front panel assembly
PL-100/100X,Turntable,IPZ30P100FMC,IPZ30P100FMC,Screw
CT-F1050,Cassette Tape,JT-216,JT-216,Wired remote-contro!
SX-2500,Receiver,K11-018-0,K11-018,4P Antenna Terminal
SX-700T,Receiver,K11-018-0,K11-018,Terminal 4P
SX-9000,Receiver,K11-018-0,K11-018,4P Antenna Terminal
SX-990,Receiver,K11-018-0,K11-018,4P Antenna Terminal
QX-4000,Receiver,K11-043-0,K11-043,Antenna input terminal board
QX-646,Receiver,K11-043-D,K11-043,Antenna input terminal board
QX-8000,Receiver,K11-043-C,K11-043,Antenna Terminal
QX-8000A,Receiver,K11-043-0,K11-043,Antenna terminal board
QX-9900,Receiver,K11-043-D,K11-043,Antenna input terminal board
SX-424,Receiver,K11-043-A,K11-043,Antenna Input terminal board
SX-434,Receiver,K11-043-0,K11-043,Antenna terminal board
SX-525,Receiver,K11-043-C,K11-043,Antenna terminal board
SX-6000,Receiver,K11-043-A,K11-043,Antenna Input Terminal Board
SX-626 (1971),Receiver,K11-043-C,K11-043,Antenna terminal board
SX-626 (1973),Receiver,K11-043-0,K11-043,Antenna terminal board
