model,category,part_number,normalized_part_number,description
SPEC-1,Pre-Amplifier,AWR-094,AWR-094,Power supply circuit assembly
SG-9500,Equalizer,AWR-095,AWR-095,Power supply assembly
TX-6500II,Tuner,AWR-097,AWR-097,Power supply assembly (KU)
SX-750,Receiver,AWR-099,AWR-099,Power supply & Protection assembly
SX-750,Receiver,AWR-100,AWR-100,Power supply assembly
SX-850,Receiver,AWR-101,AWR-101,Power supply assembly (KC/KU/S)
SX-950,Receiver,AWR-101,AWR-101,Power supply assembly
SX-850,Receiver,AWR-102,AWR-102,Power supply assembly (HG)
SX-1050,Receiver,AWR-103,AWR-103,Power supply assembly-A
SX-1050,Receiver,AWR-104,AWR-104,Power supply assembly-B
SX-1250,Receiver,AWR-106,AWR-106,STABILIZER ASSEMBLY
SX-1250,Receiver,AWR-107,AWR-107,Power supply assembly (KCU/S)
SX-1250,Receiver,AWR-108,AWR-108,Power supply assembly (HG)
SX-650,Receiver,AWR-117,AWR-117,Power supply assembly (KCU/S)
SX-650,Receiver,AWR-118,AWR-118,Power supply assembly (HG)
TX-8500II,Tuner,AWR-119,AWR-119,Power supply assembly (KU)
TX-6500II,Tuner,AWR-124,AWR-124,Power supply assembly (HG)
TX-9500II,Tuner,AWR-128,AWR-128,Power supply assembly (KU)
TX-9500II,Tuner,AWR-129,AWR-129,Power supply assembly (KC)
TX-9500II,Tuner,AWR-130,AWR-130,Power supply assembly (HG)
TX-9500II,Tuner,AWR-131,AWR-131,Power supply assembly (S)
TX-8500II,Tuner,AWR-132,AWR-132,Power supply assembly (S)
TX-8500II,Tuner,AWR-133,AWR-133,Power supply assembly (HG)
TX-6500II,Tuner,AWR-134,AWR-134,Power supply assembly (S)
TX-8500II,Tuner,AWR-135,AWR-135,Power supply assembly (KC)
TX-6500II,Tuner,AWR-137,AWR-137,Power supply assembly (KC)
SPEC-4,Amplifier,AWR-139,AWR-139,Power supply assembly
SPEC-4,Amplifier,AWR-140,AWR-140,Power supply assembly
SPEC-4,Amplifier,AWR-143,AWR-143,Fuse assembly
SX-1080,Receiver,AWR-152,AWR-152,Power supply assernbly
SX-1980,Receiver,AWR-154,AWR-154,Power supply assembly (KU/S/SG)
SX-1980,Receiver,AWR-155,AWR-155,Power supply assembly (HG)
SX-980,Receiver,AWR-156,AWR-156,Power supply assembly
SX-1280,Receiver,AWR-157,AWR-157,Power supply assembly
SX-780,Receiver,AWR-169,AWR-169,Fuse assembly
SX-880/890,Receiver,AWR-171,AWR-171,Fuse assembly (SX-880/KU)
SX-880/890,Receiver,AWR-174,AWR-174,Fuse assembly (SX-880/KC)
SX-780,Receiver,AWR-175,AWR-175,Fuse assembly (S/G)
SX-880/890,Receiver,AWR-175,AWR-175,Fuse assembly (SX-880/SG)
A-27,Integrated Amplifier,AWR-176,AWR-176,Power supply assemby
F-28,Tuner,AWR-177,AWR-177,Power supply assembly (KU type)
F-28,Tuner,AWR-178,AWR-178,Power supply assembly (S/G type)
SA-3000,Integrated Amplifier,AWR-181,AWR-181,"Fuse Assembly (HE, HB)"
SA-8800,Integrated Amplifier,AWR-182,AWR-182,Power supply assembly (KU)
TX-7800,Tuner,AWR-185,AWR-185,Power supply assembly (HG)
TX-7800,Tuner,AWR-186,AWR-186,Power supply assembly (S/SG)
SA-9800,Integrated Amplifier,AWR-192,AWR-192,Rectifier assembly
SA-8800,Integrated Amplifier,AWR-193,AWR-193,Power supply assembly (S)
SA-8800,Integrated Amplifier,AWR-193,AWR-193,Power supply assembly (S/G)
SA-8800,Integrated Amplifier,AWR-198,AWR-198,Power supply assembly (KC)
TX-6800/608,Tuner,AWR-200,AWR-200,Fuse assembly
SA-3000,Integrated Amplifier,AWR-201,AWR-201,Terminal assembly (KU)
SX-3900,Receiver,AWR-210,AWR-210,Power supply assembly
SX-3900,Receiver,AWR-211,AWR-211,Rectifier assembly (KU)
SX-D7000,Receiver,AWR-211,AWR-211,RECTIFIER Ass'y
SX-3900,Receiver,AWR-214,AWR-214,Rectifier assembly (S/G)
SX-D7000,Receiver,AWR-216,AWR-216,POWER SUPPLY Ass'y
SX-D7000,Receiver,AWR-217,AWR-217,FUSE Ass’y
F-7,Tuner,AWR-218,AWR-218,"Terminal assembly (KU, KC)"
A-9,Integrated Amplifier,AWR-226,AWR-226,Regulator assembly
F-7,Tuner,AWR-227,AWR-227,Fuse assembly (KC)
SX-8,Receiver,AWR-236,AWR-236,Rectifier assembly
A-90,Integrated Amplifier,AWR-243,AWR-243,Output msembly
A-90,Integrated Amplifier,AWR-244,AWR-244,Power supply assembly
QC-800,Pre-Amplifier,AWS-001-0,AWS-001,"Lever switch unit (OUTPUT,FILTERS)"
QC-800A,Pre-Amplifier,AWS-001-0,AWS-001,"Lever switch unit (OUTPUT,FILTERS)"
QA-800,Integrated Amplifier,AWS-002-0,AWS-002,"Lever switch unit (TAPE1,TAPE2,QUADRALIZER,MUTING)"
QA-800A,Integrated Amplifier,AWS-002-0,AWS-002,"Lever switch unit (TAPE1,TAPE2,MATRIX,MUTING)"
QC-800,Pre-Amplifier,AWS-002-0,AWS-002,"Lever switch unit (TAPE1,TAPE2,QUADRALIZER,MUTING)"
QC-800A,Pre-Amplifier,AWS-002-0,AWS-002,"Lever switch unit (TAPE1,TAPE2,MATRIX,MUTING)"
QA-800,Integrated Amplifier,AWS-003-0,AWS-003,"Lever switch unit (LOUDNESS,FILTERS)"
QA-800A,Integrated Amplifier,AWS-003-0,AWS-003,"Lever switch unit (LOUDNESS,FILTERS)"
QX-8000,Receiver,AWS-004-B,AWS-004,"Switch Unit (FILTERS,LOUDNESS,MUTING,TAPE MONITORS)"
QX-8000A,Receiver,AWS-004-B,AWS-004,"Switch Unit (FILTERS,LOUDNESS,MUTING,TAPE MONITORS)"
QX-8000,Receiver,AWS-005-0,AWS-005,Switch Unit (Speakers)
QX-8000A,Receiver,AWS-005-0,AWS-005,Switch Unit (Speakers)
QX-8000,Receiver,AWS-006-0,AWS-006,Switch Unit (QUADRILIZER)
SX-6000,Receiver,AWS-007-A,AWS-007,Switch Unit
SA-500A,Integrated Amplifier,AWS-009-O,AWS-009,Switch Unit
SX-626 (1971),Receiver,AWS-013-0,AWS-013,Switch unit
SX-626 (1973),Receiver,AWS-013-A,AWS-013,Switch circuit assembly
SX-626 (1971),Receiver,AWS-014-0,AWS-014,Switch unit
SX-626 (1973),Receiver,AWS-014-0,AWS-014,Switch circuit assembly
SX-525,Receiver,AWS-015-0,AWS-015,Switch unit
