model,category,part_number,normalized_part_number,description
SPEC-1,Pre-Amplifier,ACT-305,ACT-305,"Variable resistor 10kΩ-HB, 2kΩ-HB (PHONO 2 LEVEL)"
SD-1000,Other,ACT-501-O,ACT-501,"5k A2, FREQUENCY"
SD-1100,Other,ACT-501-0,ACT-501,Volume (Frequency) 5k-A
SD-1000,Other,ACT-502-O,ACT-502,"10k B,OSC LEVEL"
SD-1100,Other,ACT-502-0,ACT-502,Volume (Osc level) 10k-B
QD-240,Other,ACT-503,ACT-503,CONTROL(SEPARATION)
A-9,Integrated Amplifier,ACT-507,ACT-507,Variable resistor with switch (BALANCE)
SX-202,Receiver,ACT-602,ACT-602,"Volume assembly (100kx2,1M)"
A-7,Integrated Amplifier,ACT-706,ACT-706,Variable (VOLUME)
A-858,Integrated Amplifier,ACT1053,ACT1053,Variable resistor (BALANCE) (250k×2)
A-858,Integrated Amplifier,ACT1054,ACT1054,"Variable resistor (BASS, TREBLE) (100k-20A×2)"
GR-551,Equalizer,ACU1017,ACU1017,Slide variable resistor (GRAPHIC EQUALIZER)
GR-555,Equalizer,ACU1017,ACU1017,Slide variable resistor (GRAPHIC EQUALIZER)
QX-646,Receiver,ACV -013-0,ACV -013,L channel separation control (CD-4) 10k-C
SA-8800,Integrated Amplifier,ACV 199,ACV 199,Variable resistor (TREBLE)
SR-202W,Reverb,ACV-001-0,ACV-001,50kΩ Reverberation time control
SD-1000,Other,ACV-002-O,ACV-002,"1M B,INTENSITY"
SD-1100,Other,ACV-002-0,ACV-002,Volume (Focus) 250k-B
SD-1000,Other,ACV-003-0,ACV-003,"250k B, FOCUS"
SD-1100,Other,ACV-003-0,ACV-003,Volume (Intensity) 100k-B
QA-800,Integrated Amplifier,ACV-004-0,ACV-004,"Level control, 500k-B (CH.1)"
QA-800,Integrated Amplifier,ACV-004-0,ACV-004,"Level control, 500k-B (CH.2)"
QA-800,Integrated Amplifier,ACV-004-0,ACV-004,"Level control, 500k-B (CH.3)"
QA-800,Integrated Amplifier,ACV-004-0,ACV-004,"Level control, 500k-B (CH.4)"
QC-800,Pre-Amplifier,ACV-004-0,ACV-004,"LEVEL control, 500k-B (CH.1)"
QC-800,Pre-Amplifier,ACV-004-0,ACV-004,"LEVEL control, 500k-B (CH.2)"
QC-800,Pre-Amplifier,ACV-004-0,ACV-004,"LEVEL control, 500k-B (CH.3)"
QC-800,Pre-Amplifier,ACV-004-0,ACV-004,"LEVEL control, 500k-B (CH.4)"
QL-600,Integrated Amplifier,ACV-005-0,ACV-005,LEVEL Control 250k-B (CH.1)
QL-600,Integrated Amplifier,ACV-005-0,ACV-005,LEVEL Control 250k-B (CH.2)
QL-600,Integrated Amplifier,ACV-005-0,ACV-005,LEVEL Control 250k-B (CH.3)
QL-600,Integrated Amplifier,ACV-005-0,ACV-005,LEVEL Control 250k-B (CH.4)
QL-600A,Integrated Amplifier,ACV-005-0,ACV-005,"250k-B, level control"
QL-600A,Integrated Amplifier,ACV-005-0,ACV-005,"250k-B, level control"
QL-600A,Integrated Amplifier,ACV-005-0,ACV-005,"250k-B, level control"
QL-600A,Integrated Amplifier,ACV-005-0,ACV-005,"250k-B, level control"
QA-800A,Integrated Amplifier,ACV-007-0,ACV-007,"Level control, 500k-B (CH.1)"
QA-800A,Integrated Amplifier,ACV-007-0,ACV-007,"Level control, 500k-B (CH.2)"
QA-800A,Integrated Amplifier,ACV-007-0,ACV-007,"Level control, 500k-B (CH.3)"
QA-800A,Integrated Amplifier,ACV-007-0,ACV-007,"Level control, 500k-B (CH.4)"
QC-800A,Pre-Amplifier,ACV-007-0,ACV-007,"LEVEL control, 500k-B (CH.1)"
QC-800A,Pre-Amplifier,ACV-007-0,ACV-007,"LEVEL control, 500k-B (CH.2)"
QC-800A,Pre-Amplifier,ACV-007-0,ACV-007,"LEVEL control, 500k-B (CH.3)"
QC-800A,Pre-Amplifier,ACV-007-0,ACV-007,"LEVEL control, 500k-B (CH.4)"
QX-4000,Receiver,ACV-008-0,ACV-008,"500k-B, balance (FRONT)"
QX-4000,Receiver,ACV-008-0,ACV-008,"500k-B, balance (REAR)"
QX-646,Receiver,ACV-008,ACV-008,"CONTROL(BALANCE ""FRONT""/""REAR"")"
SPEC-2,Amplifier,ACV-009,ACV-009,Variable resistor 100k-B (LEFT LEVEL)
SPEC-2,Amplifier,ACV-009,ACV-009,Variable resistor 100k-B (RIGHT LEVEL)
TX-7100,Tuner,ACV-009-0,ACV-009,Potentiometer 100k-B2 (AM)
TX-8100,Tuner,ACV-009-0,ACV-009,Potentiometer (AM LEVEL) 100k-B2
TX-6200,Tuner,ACV-011-0,ACV-011,AM LEVEL 10k-A2
QX-646,Receiver,ACV-013-0,ACV-013,R channel separation control (CD-4) 10k-C
QX-747,Receiver,ACV-014-0,ACV-014,Variable resistor 10kΩ-C (separation-L)
QX-747,Receiver,ACV-014-0,ACV-014,Variable resistor 10kΩ-C (separation-R)
QX-949,Receiver,ACV-014-0,ACV-014,Variable resistor 10k-C (CD4 separation)
QX-949,Receiver,ACV-014-0,ACV-014,Variable resistor 10k-C (CD4 separation)
QX-747A,Receiver,ACV-017,ACV-017,Variable resistor 3k-B (CD-4 SEPARATION LEFT)
QX-747A,Receiver,ACV-017,ACV-017,Variable resistor 3k-B (CD-4 SEPARATION RIGHT)
QX-949A,Receiver,ACV-017,ACV-017,Variable resistor 3k-B (CD-4 SEPARATION LEFT)
QX-949A,Receiver,ACV-017,ACV-017,Variable resistor 3k-B (CD-4 SEPARATION RIGHT)
C-21,Pre-Amplifier,ACV-019,ACV-019,"Variable resistor 1kΩ, 22-step (GAIN)"
SX-450,Receiver,ACV-020,ACV-020,Variable resistor (BALANCE)
SPEC-4,Amplifier,ACV-021,ACV-021,Variable resistor 100kΩ ( RIGHT LEVEL)
SPEC-4,Amplifier,ACV-021,ACV-021,Variable resistor 100kΩ LEFT (LEVEL)
SX-626 (1971),Receiver,ACV-103-0,ACV-103,500k-B1 dual (Volume)
SX-626 (1973),Receiver,ACV-103-0,ACV-103,Variable resistor 500k-B1 (Volume)
SX-626 (1971),Receiver,ACV-104-0,ACV-104,500k-HB dual (Balance)
SX-626 (1973),Receiver,ACV-104-0,ACV-104,Variable resistor 500k-H B (Balance)
SX-525,Receiver,ACV-105-0,ACV-105,"Dual, volume"
SX-727,Receiver,ACV-105-0,ACV-105,Dual  500k-B (Volume)
SX-828,Receiver,ACV-105-0,ACV-105,"500k, dual, Volume"
SX-525,Receiver,ACV-106-0,ACV-106,"Dual, balance"
QX-4000,Receiver,ACV-109-0,ACV-109,"500k-B, dual, balance (FRONT/REAR)"
QX-646,Receiver,ACV-109,ACV-109,CONTROL(BALANCE)
QX-747,Receiver,ACV-110-0,ACV-110,Variable Resistor 10k-B (TREBLE/BASS)
QX-747A,Receiver,ACV-110,ACV-110,"Variable resistor 100k-B, dual (FRONT BASS)"
QX-747A,Receiver,ACV-110,ACV-110,"Variable resistor 100k-B, dual (FRONT TREBLE)"
QX-747A,Receiver,ACV-110,ACV-110,"Variable resistor 100k-B, dual (REAR BASS)"
QX-747A,Receiver,ACV-110,ACV-110,"Variable resistor 100k-B, dual (REAR TREBLE)"
QX-949,Receiver,ACV-110-0,ACV-110,Variable resistor dual 100K-B (FRONT BASS)
QX-949,Receiver,ACV-110-0,ACV-110,Variable resistor dual 100K-B (FRONT TREBLE)
QX-949,Receiver,ACV-110-0,ACV-110,Variable resistor dual 100K-B (REAR BASS)
QX-949,Receiver,ACV-110-0,ACV-110,Variable resistor dual 100K-B (REAR TREBLE)
QX-949A,Receiver,ACV-110,ACV-110,"Variable resistor 100k-B, dual (FRONT BASS)"
QX-949A,Receiver,ACV-110,ACV-110,"Variable resistor 100k-B, dual (FRONT TREBLE)"
QX-949A,Receiver,ACV-110,ACV-110,"Variable resistor 100k-B, dual (REAR BASS)"
QX-949A,Receiver,ACV-110,ACV-110,"Variable resistor 100k-B, dual (REAR TREBLE)"
QX-949A,Receiver,ACV-110-0,ACV-110,Variable resistor dual 100k-B  (FRONT BASS)
QX-949A,Receiver,ACV-110-0,ACV-110,Variable resistor dual 100k-B  (REAR BASS)
QX-949A,Receiver,ACV-110-0,ACV-110,Variable resistor dual 100k-B (FRONT TREBLE)
QX-949A,Receiver,ACV-110-0,ACV-110,Variable resistor dual 100k-B (REAR TREBLE)
SA-7100,Integrated Amplifier,ACV-110-0,ACV-110,100k-B Bass control
SA-7100,Integrated Amplifier,ACV-110-0,ACV-110,100k-B Treble control
SA-7100,Integrated Amplifier,ACV-111-B,ACV-111,Balance control 250k-AC
SA-8100,Integrated Amplifier,ACV-111-B,ACV-111,Balance control  250k(HB)
SA-9100,Integrated Amplifier,ACV-111-A,ACV-111,Balance control 250k-HB
SX-434,Receiver,ACV-111-B,ACV-111,Variable resistor 250k-HB (Balance)
SA-7100,Integrated Amplifier,ACV-112-0,ACV-112,VOLUME control. 250k-B1
TX-710,Tuner,ACV-113,ACV-113,CONTROL(FM OUTPUT/HEADPHONE LEV
TX-7100,Tuner,ACV-113-0,ACV-113,Potentiometer (dual - FM LEVEL) 100k-B2
TX-8100,Tuner,ACV-113-0,ACV-113,Potentiometer (dual - FM LEVEL) 100k-B2
TX-8100,Tuner,ACV-113-0,ACV-113,Potentiometer (dual - HEADPHONE) 100k-B2
TX-9500,Tuner,ACV-113-0,ACV-113,Dual control 100kΩ-B2 (OUTPUT)
TX-9100,Tuner,ACV-115-0,ACV-115,"Potentiometer (dual) 100k-B2. (OUTPUT LEVEL - AM,FM,PHONES)"
SA-5200,Integrated Amplifier,ACV-117-0,ACV-117,Volume control(250k-B1)
SA-5200,Integrated Amplifier,ACV-118-0,ACV-118,"Potentiometer, dual (100k-A2) Bass"
SA-5200,Integrated Amplifier,ACV-118-0,ACV-118,"Potentiometer, dual (100k-A2) Treble"
TX-6200,Tuner,ACV-119-0,ACV-119,FM LEVEL 10k-A2
QX-747,Receiver,ACV-122-0,ACV-122,Variable resistor 10kΩ-B2 (carrier level)
QX-949,Receiver,ACV-122-0,ACV-122,Variable resistor 10k-B2 dual (Carrier level)
SX-434,Receiver,ACV-124-0,ACV-124,Variable resistor 250k-B1 (Volume)
SR-303,Reverb,ACV-125,ACV-125,Variable resistor (DEPTH)
SA-5500II,Integrated Amplifier,ACV-126,ACV-126,Variable resistor (BALANCE)
SX-550,Receiver,ACV-126,ACV-126,Variable resistor (BALANCE)
SX-1010,Receiver,ACV-130-0,ACV-130,Variable resistor (Bass-main)
SX-939,Receiver,ACV-130-0,ACV-130,Variable resistor (Bass-main)
SX-1010,Receiver,ACV-131-0,ACV-131,Variable resistor (Treble-main)
SX-939,Receiver,ACV-131-0,ACV-131,Variable resistor (Treble-main)
SX-1010,Receiver,ACV-132-0,ACV-132,Variable resistor (Bass-sub)
SX-939,Receiver,ACV-132-0,ACV-132,Variable resistor (Bass-sub]
SX-1010,Receiver,ACV-133-0,ACV-133,Variable resistor (Treble-sub)
SX-939,Receiver,ACV-133-0,ACV-133,Variable resistor (Treble-sub]
SX-1010,Receiver,ACV-134-0,ACV-134,Variable resistor 250k-B1 (Volume)
SX-737,Receiver,ACV-134-0,ACV-134,Variable resistor 250k-B1 (volume)
SX-838,Receiver,ACV-134-0,ACV-134,Variable resistor 250k-B1 (Volume)
SX-939,Receiver,ACV-134-0,ACV-134,Variable resistor 250k-B1 (Volume)
SA-6500,Integrated Amplifier,ACV-135,ACV-135,Variable 250k-HB (BALANCE)
SA-6500II,Integrated Amplifier,ACV-135,ACV-135,Variable 250k-HB (BALANCE)
SA-7500II,Integrated Amplifier,ACV-135,ACV-135,Variable resistor 100k-HB (BALANCE)
SX-1010,Receiver,ACV-135-0,ACV-135,Variable resistor 250k-HB (Balance)
SX-535,Receiver,ACV-135-0,ACV-135,Variable resistor  250k-HB (BALANCE)
SX-636,Receiver,ACV-135-0,ACV-135,Variable resistor 250k-HB (BALANCE)
SX-650,Receiver,ACV-135,ACV-135,Variable resistor (BALANCE)
SX-737,Receiver,ACV-135-0,ACV-135,Variable resistor 250k-HB (balance)
SX-750,Receiver,ACV-135,ACV-135,Variable resistor (BALANCE)
SX-838,Receiver,ACV-135-0,ACV-135,Variable resistor 250k-HB (Balance)
SX-939,Receiver,ACV-135-0,ACV-135,Variable resistor 250k-HB (Balance)
SA-7500,Integrated Amplifier,ACV-136-0,ACV-136,Variable resistor (BASS) 100kΩ-B
SA-7500,Integrated Amplifier,ACV-136-0,ACV-136,Variable resistor (TREBLE) 100kΩ.-B
SA-8500II,Integrated Amplifier,ACV-136,ACV-136,Variable resistor (BASS)
SA-8500II,Integrated Amplifier,ACV-136,ACV-136,Variable resistor (TREBLE)
SX-1080,Receiver,ACV-136,ACV-136,"Variable resistor (BASS, TREBLE)"
SX-636,Receiver,ACV-136-0,ACV-136,Variable resistor 100k-B (BASS)
SX-636,Receiver,ACV-136-0,ACV-136,Variable resistor 100k-B (TREBLE)
SX-737,Receiver,ACV-136-0,ACV-136,Variable resistor 100k-B(bass)
SX-737,Receiver,ACV-136-0,ACV-136,Variable resistor 100k-B(treble]
SX-838,Receiver,ACV-136-0,ACV-136,Variable resistor (100k-B) Bass
SX-838,Receiver,ACV-136-0,ACV-136,Variable resistor (100k-B) Treble
SX-850,Receiver,ACV-136,ACV-136,Variable resistor 100k-B (BASS)
SX-850,Receiver,ACV-136,ACV-136,Variable resistor 100k-B (TREBLE)
SX-950,Receiver,ACV-136,ACV-136,"Variable resistor (100k-B, TREBLE)"
SX-950,Receiver,ACV-136,ACV-136,"Variable resistor(100k-B, BASS)"
SX-980,Receiver,ACV-136,ACV-136,Variable resistor (BASS)
SX-980,Receiver,ACV-136,ACV-136,Variable resistor (TREBLE)
SX-434,Receiver,ACV-137-0,ACV-137,Variable resistor 100k-A2 (Bass)
SX-434,Receiver,ACV-137-0,ACV-137,Variable resistor 100k-A2 (Treble)
SA-7500II,Integrated Amplifier,ACV-138,ACV-138,Variable resistor 100k-A (BASS)
SA-7500II,Integrated Amplifier,ACV-138,ACV-138,Variable resistor 100k-A (TREBLE)
SX-535,Receiver,ACV-138-0,ACV-138,Variable resistor  100k-A2 (BASS)
SX-535,Receiver,ACV-138-0,ACV-138,Variable resistor  100k-A2 (TREBLE)
SX-550,Receiver,ACV-138,ACV-138,"Variable resistor (BASS, TREBLE)"
SX-750,Receiver,ACV-138,ACV-138,Variable resistor (BASS)
SX-750,Receiver,ACV-138,ACV-138,Variable resistor (TREBLE)
SX-535,Receiver,ACV-139-0,ACV-139,Variable resistor  250k-B1 (VOLUME)
SX-636,Receiver,ACV-139-0,ACV-139,Variable resistor 250k-B1 (VOLUME)
A-7,Integrated Amplifier,ACV-143,ACV-143,Variable (BALANCE)
SA-6500,Integrated Amplifier,ACV-143,ACV-143,Variable resistor 100kΩ-A (BASS)
SA-6500,Integrated Amplifier,ACV-143,ACV-143,Variable resistor 100kΩZ-A (TREBLE)
SA-6500II,Integrated Amplifier,ACV-143,ACV-143,Variable resistor 100kΩ-A (BASS)
SA-6500II,Integrated Amplifier,ACV-143,ACV-143,Variable resistor 100kΩ-A (TREBLE)
SA-9500,Integrated Amplifier,ACV-144-A,ACV-144,Variable resistor (VOLUME)
SA-9900,Integrated Amplifier,ACV-144-A,ACV-144,Variable resistor - VOLUME (Early production?)
SA-9900,Integrated Amplifier,ACV-145-0,ACV-145,Variable Resistor 50K-AC (BALANCE)
SPEC-1,Pre-Amplifier,ACV-145,ACV-145,Variable resistor 50kΩ-AC (BALANCE)
SA-9500,Integrated Amplifier,ACV-146-A,ACV-146,Variable resistor 2kΩ-HB / 10kΩ-HB (PHONO 2/MIC LEVEL)
SA-9900,Integrated Amplifier,ACV-146-0,ACV-146,Impedance Selector 233K (PHONO 2 IMPEDANCE)
SA-9500,Integrated Amplifier,ACV-148-0,ACV-148,Variable resistor (BALANCE) 250kΩ-HB
SA-8500,Integrated Amplifier,ACV-149-A,ACV-149,Switch type variable resistor (SUB TREBLE)
SA-8500,Integrated Amplifier,ACV-150-A,ACV-150,Switch type variable resistor (MAIN TREBLE)
SA-8500,Integrated Amplifier,ACV-151-A,ACV-151,Switch type variable resistor (MAIN BASS)
SA-8500,Integrated Amplifier,ACV-152-A,ACV-152,Switch type variable resistor (SUB BASS)
SA-6500,Integrated Amplifier,ACV-154,ACV-154,Variable resistor 100kΩZ-A (VOLUME)
SA-6500II,Integrated Amplifier,ACV-154,ACV-154,Variable resistor 100kΩ-A (VOLUME)
RG-1,Dynamic Range Expander,ACV-155,ACV-155,"Variable resistor 100k-B2, dual (INPUT LEVEL)"
RG-2,Dynamic Range Expander,ACV-155,ACV-155,Variable resistor 100k-B (INPUT LEVEL)
RG-9,Dynamic Range Expander,ACV-155,ACV-155,CONTROL(INPUT LEVEL)
SX-650,Receiver,ACV-159,ACV-159,Variable resistor (BASS)
SX-650,Receiver,ACV-160,ACV-160,Variable resistor (TREBLE)
SX-450,Receiver,ACV-161,ACV-161,Variable resistor (VOLUME)
SX-550,Receiver,ACV-161,ACV-161,Variabie resistor (VOLUME)
SX-580/590,Receiver,ACV-161,ACV-161,Variable resistor (VOLUME)
SX-680/690,Receiver,ACV-161,ACV-161,Variable resistor (VOLUME)
SX-780,Receiver,ACV-161,ACV-161,Variable 100k-B (VOLUME)
SX-880/890,Receiver,ACV-161,ACV-161,Variable resistor (VOLUME)
SA-7500II,Integrated Amplifier,ACV-162,ACV-162,Variable resistor 100k 32 step (VOLUME)
SX-1080,Receiver,ACV-162,ACV-162,Variable resistor (VOLUME)
SX-980,Receiver,ACV-162,ACV-162,Variable resistor (VOLUME)
SX-1050,Receiver,ACV-163,ACV-163,Variable resistor (BALANCE) 100kΩ-HB
SX-1250,Receiver,ACV-163,ACV-163,Variable (100k-HB BALANCE)
SX-850,Receiver,ACV-163,ACV-163,Variable resistor 100k-HB (BALANCE)
SX-950,Receiver,ACV-163,ACV-163,Variable resistor (100k-HB/ BALANCE)
SX-850,Receiver,ACV-164,ACV-164,Variable resistor 50k-B2 (VOLUME)
SX-950,Receiver,ACV-164,ACV-164,Variabie resistor (50k-B2/VOLUME)
SX-1050,Receiver,ACV-165,ACV-165,Variable resistor (BASS 50Hz) 102kΩ
SX-1250,Receiver,ACV-165,ACV-165,"Variable resistor (102k, 5-step, BASS 50Hz)"
SX-1050,Receiver,ACV-166,ACV-166,Variable resistor (BASS 100Hz) 102.6kΩ
SX-1250,Receiver,ACV-166,ACV-166,"Variable resistor (102.6k, 11-step, BASS 100Hz)"
SX-1050,Receiver,ACV-167,ACV-167,Variable resistor (TREBLE 10kHz) 99kΩ
SX-1250,Receiver,ACV-167,ACV-167,"Variable resistor (99k,11-step,TREBLE 10kHz)"
SX-1050,Receiver,ACV-168,ACV-168,Variable resistor (TREBLE 20kHz) 102kΩ
SX-1250,Receiver,ACV-168,ACV-168,"Variable resistor (102k, 5-step, TREBLE 20kHz)"
SX-1050,Receiver,ACV-169,ACV-169,Variable resistor (VOLUME) 50kΩ
SX-1250,Receiver,ACV-169,ACV-169,Variable (50k-B2 VOLUME)
SA-8500II,Integrated Amplifier,ACV-171,ACV-171,Variable resisior (VOLUME)
SA-9500II,Integrated Amplifier,ACV-171,ACV-171,Variable resistor 100k 32-step (VOLUME)
SA-8500II,Integrated Amplifier,ACV-172,ACV-172,Variable resistor (BALANCE)
SA-9500II,Integrated Amplifier,ACV-172,ACV-172,Variable resistor (BALANCE)
SA-9500II,Integrated Amplifier,ACV-173,ACV-173,Variable resistor (TREBLE 20kHz)
SA-9500II,Integrated Amplifier,ACV-174,ACV-174,Variable resistor (TREBLE 10kHz)
SA-9500II,Integrated Amplifier,ACV-175,ACV-175,Variable resistor (BASS 100Hz)
SA-9500II,Integrated Amplifier,ACV-176,ACV-176,Variable resistor (BASS 50Hz)
C-21,Pre-Amplifier,ACV-177,ACV-177,"Variable resistor 100kΩZ, 32-step (VOLUME)"
TX-8500II,Tuner,ACV-178,ACV-178,Variable resistor 10k (OUTPUT LEVEL)
TX-9500II,Tuner,ACV-178,ACV-178,Variable resistor 10k (OUTPUT LEVEL)
SX-650,Receiver,ACV-179,ACV-179,Variable resistor 100k (VOLUME)
SX-750,Receiver,ACV-179,ACV-179,Variable resistor 100k (VOLUME)
SX-450,Receiver,ACV-180,ACV-180,Variable resistor (BASS)
SX-450,Receiver,ACV-180,ACV-180,Variable resistor (TREBLE)
SA-5500II,Integrated Amplifier,ACV-181,ACV-181,Variable resistor (VOLUME)
