model,category,part_number,normalized_part_number,description
RG-2,Dynamic Range Expander,ASG-216,ASG-216,Push switch (PROCESSOR)
RG-2,Dynamic Range Expander,ASG-216,ASG-216,Push switch (TAPE MONITOR)
TX-D1000,Tuner,ASG-217,ASG-217,SWITCH(POWER)
SX-600L,Receiver,ASG-221,ASG-221,Push switch (TAPE MONITOR)
SX-700,Receiver,ASG-221,ASG-221,Push switch (TAPE MONITOR)
SX-700L,Receiver,ASG-221,ASG-221,Push switch (TAPE MONITOR)
SX-600,Receiver,ASG-221 (ASG-246),ASG-221 (ASG-246),Push switch (TAPE MONITOR)
SX-3900,Receiver,ASG-228,ASG-228,"5-gang push switch (FM, AM, AUX, PHONO2, PHONO1)"
SX-3900,Receiver,ASG-229,ASG-229,Dual push switch
SX-3800,Receiver,ASG-230,ASG-230,Push switch (BRIGHTNESS)
SX-3800,Receiver,ASG-230,ASG-230,Push switch (FM MUTING)
SX-3900,Receiver,ASG-230,ASG-230,Push switch (BRIGHT/DIM)
SX-3900,Receiver,ASG-230,ASG-230,Push switch (LOUDNESS)
SX-3800,Receiver,ASG-231,ASG-231,Push switch (FUNCTION - AM)
SX-3800,Receiver,ASG-231,ASG-231,Push switch (FUNCTION - AUX)
SX-3800,Receiver,ASG-231,ASG-231,Push switch (FUNCTION - FM)
SX-3800,Receiver,ASG-231,ASG-231,Push switch (FUNCTION - PHONO)
SX-3700,Receiver,ASG-240,ASG-240,Push switch (AM)
SX-3700,Receiver,ASG-240,ASG-240,Push switch (AUX)
SX-3700,Receiver,ASG-240,ASG-240,Push switch (FM)
SX-3700,Receiver,ASG-240,ASG-240,Push switch (PHONO)
SX-820,Receiver,ASG-240,ASG-240,Push switch (AM)
SX-820,Receiver,ASG-240,ASG-240,Push switch (AUX)
SX-820,Receiver,ASG-240,ASG-240,Push switch (FM)
SX-820,Receiver,ASG-240,ASG-240,Push switch (PHONO)
SX-3700,Receiver,ASG-241,ASG-241,Push switch (SP A)
SX-3700,Receiver,ASG-241,ASG-241,Push switch (SP B)
SX-820,Receiver,ASG-241,ASG-241,Push switch (SP A)
SX-820,Receiver,ASG-241,ASG-241,Push switch (SP B)
SX-3400,Receiver,ASG-242,ASG-242,"Push switch (MODE/FM MUTE, LOUDNESS)"
SX-3600/720,Receiver,ASG-242,ASG-242,"Push switch (FM MUTE/MODE,TAPE MONITOR)"
SX-600L,Receiver,ASG-242,ASG-242,"Push switch (FM MUTING, LOUDNESS)"
SX-700,Receiver,ASG-242,ASG-242,"2-ganged push switch  (FM MUTING, LOUDNESS)"
SX-700L,Receiver,ASG-242,ASG-242,"2-ganged push switch  (FM MUTING, LOUDNESS)"
SX-600,Receiver,ASG-242 (ASG-244),ASG-242 (ASG-244),"Push switch (FM MUTING, LOUDNESS)"
SX-3600/720,Receiver,ASG-243,ASG-243,Push switch (SPEAKER)
SX-3500,Receiver,ASG-244,ASG-244,"2-ganged push switch (MODE/FM MUTE, LOUDNESS)"
SX-3500,Receiver,ASG-245,ASG-245,2-ganged push switch (SPEAKERS)
SX-3500,Receiver,ASG-246,ASG-246,Push switch (TAPE MONITOR)
TX-720,Tuner,ASG-246,ASG-246,SWITCH(TAPE MONITOR)
SX-3400,Receiver,ASG-247,ASG-247,Push switch (TAPE MONITOR)
SX-D7000,Receiver,ASG-248,ASG-248,"Function switch (PHONO1, PHONO2, AUX, AM, FM)"
SX-D5000,Receiver,ASG-249,ASG-249,"3-ganged push switch (MONITOR, ADAPTOR)"
SX-D7000,Receiver,ASG-249,ASG-249,Switch (TAPE MON/ADAPTOR)
SX-D5000,Receiver,ASG-250,ASG-250,3-ganged push switch (DUPLICATE)
SX-D7000,Receiver,ASG-250,ASG-250,Switch (TAPE DUPLICATE)
SX-D5000,Receiver,ASG-251,ASG-251,Push switch (LOUDNESS)
SX-D5000,Receiver,ASG-251,ASG-251,Push switch (MUTING -20dB)
SX-D7000,Receiver,ASG-251,ASG-251,Switch (LOUDNESS)
SX-D7000,Receiver,ASG-251,ASG-251,Switch (MUTING)
TX-530L,Tuner,ASG-251,ASG-251,Push switch (FM MUTING)
TX-530L,Tuner,ASG-251,ASG-251,Push switch (FM MUTING)
SX-D5000,Receiver,ASG-252,ASG-252,"Push switch (AUTO/MANUAL, 75/25us, FM/AM MUTE)"
SX-D7000,Receiver,ASG-252,ASG-252,FM 25us switch
SX-D7000,Receiver,ASG-252,ASG-252,FM/AM mute switch
SX-D7000,Receiver,ASG-252,ASG-252,Tuning (AUTO/MAN)
SX-D7000,Receiver,ASG-253,ASG-253,Turnover switch (BASS)
SX-D7000,Receiver,ASG-253,ASG-253,Turnover switch (TREBLE)
SX-D7000,Receiver,ASG-254,ASG-254,Switch (MODE)
SX-D7000,Receiver,ASG-254,ASG-254,Switch (SPEAKERS/TONE)
SX-D7000,Receiver,ASG-255,ASG-255,Dimmer switch
SX-D5000,Receiver,ASG-256,ASG-256,Function switch (AM/FM)
SX-D5000,Receiver,ASG-257,ASG-257,"Push switch (SPEAKERS, LOW, FILTER, MODE)"
SX-D5000,Receiver,ASG-257,ASG-257,Speaker switch
TX-520,Tuner,ASG-261,ASG-261,SWITCH(FUNCTION-FM/MUTING)
