model,category,part_number,normalized_part_number,description
SX-3400,Receiver,AAB-214,AAB-214,"Knob (BASS, TREBLE, BALANCE)"
SA-710,Integrated Amplifier,AAB-221,AAB-221,Knob (VOLUME)
SA-710,Integrated Amplifier,AAB-222,AAB-222,Knob (FUNCTION)
SA-710,Integrated Amplifier,AAB-222,AAB-222,"Knob (SPEAKERS, BASS, TREBLE)"
SA-710,Integrated Amplifier,AAB-223,AAB-223,Knob (BALANCE)
SX-3900,Receiver,AAB-238,AAB-238,Knob (VOLUME)
SX-3700,Receiver,AAB-239,AAB-239,"Knob (POWER, BASS, TREBLE)"
SX-3700,Receiver,AAB-239,AAB-239,"Knob (VOLUME, BALANCE)"
SX-3800,Receiver,AAB-239,AAB-239,"Knob (BASS, TREBLE, BALANCE)"
SX-3900,Receiver,AAB-239,AAB-239,Knob (BALANCE)
SX-3900,Receiver,AAB-239,AAB-239,"Knob (BASS, TREBLE, TURN0VER)"
SX-820,Receiver,AAB-239,AAB-239,"Knob (BASS, TREBLE)"
SX-820,Receiver,AAB-239,AAB-239,"Knob (VOLUME, BALANCE)"
SX-3800,Receiver,AAB-240,AAB-240,Knob (VOLUME)
SX-3500,Receiver,AAB-243,AAB-243,"Knob (POWER, VOLUME)"
SX-3600/720,Receiver,AAB-243,AAB-243,Rotary knob
SX-600,Receiver,AAB-244,AAB-244,"Knob (BASS,TREBLE,BALANCE,VOLUME,FUNCTION)"
SX-600L,Receiver,AAB-244,AAB-244,"Knob (BASS,TREBLE,BALANCE,VOLUME,FUNCTION)"
SX-700,Receiver,AAB-244,AAB-244,"Knob (BASS,TREBLE,BALANCE,VOLUME,FUNCTION)"
SX-700L,Receiver,AAB-244,AAB-244,"Knob (BASS,TREBLE,BALANCE,VOLUME,FUNCTION)"
SX-D5000,Receiver,AAB-245,AAB-245,Knob (VOLUME)
SX-D5000,Receiver,AAB-246,AAB-246,Knob (BALANCE)
SX-D5000,Receiver,AAB-246,AAB-246,Knob (BALANCE)
SA-420,Integrated Amplifier,AAB-250,AAB-250,"Knob (BASS, TREBLE, BALANCE)"
SA-420,Integrated Amplifier,AAB-251,AAB-251,"Knob (FUNCTION,VOLUME)"
A-7,Integrated Amplifier,AAB-258,AAB-258,Knob (A - VOLUME)
A-9,Integrated Amplifier,AAB-258,AAB-258,Knob (VOLUME)
A-7,Integrated Amplifier,AAB-259,AAB-259,"Knob (B - TREBLE, BASS)"
A-8,Integrated Amplifier,AAB-259,AAB-259,KNOB(BASS/TREBLE)
A-7,Integrated Amplifier,AAB-260,AAB-260,"Knob (C - REC OUT, BALANCE)"
A-9,Integrated Amplifier,AAB-260,AAB-260,"Knob (BALANCE, REC CUT SELECTOR)"
A-9,Integrated Amplifier,AAB-261,AAB-261,"Knob (BASS, TREBLE)"
A-9,Integrated Amplifier,AAB-262,AAB-262,Knob (5k/2.5k)
A-9,Integrated Amplifier,AAB-263,AAB-263,Knob (200/400)
A-6,Integrated Amplifier,AAB-270,AAB-270,Knob (VOLUME)
A-6,Integrated Amplifier,AAB-271,AAB-271,"Knob (BASS, TREBLE, REC-OUT SELECTOR)"
A-6,Integrated Amplifier,AAB-272,AAB-272,Knob (BALANCE)
SX-4,Receiver,AAB-273,AAB-273,Knob (VOLUME)
SX-5,Receiver,AAB-273,AAB-273,Knob (VOLUME)
SX-4,Receiver,AAB-274,AAB-274,"Knob (BASS,TREBLE,BALANCE)"
SX-5,Receiver,AAB-274,AAB-274,"Knob (BASS,TREBLE,BALANCE)"
SX-6,Receiver,AAB-274,AAB-274,"Knob (BASS, TREBLE, BALANCE)"
SX-7,Receiver,AAB-274,AAB-274,"Knob (BASS,TREBLE,BALANCE)"
SA-530,Integrated Amplifier,AAB-283,AAB-283,"Rotary knob (SPEAKERS, BASS, TREBLE, BALANCE)"
SA-930,Integrated Amplifier,AAB-283,AAB-283,"Rotary knob (SPEAKERS, BASS. TREBLE, BALANCE)"
A-60,Integrated Amplifier,AAB-308,AAB-308,Rotary knob A (VOLUME)
A-70,Integrated Amplifier,AAB-308,AAB-308,Knob A (VOLUME)
A-70,Integrated Amplifier,AAB-309,AAB-309,Knob B (BALANCE)
A-90,Integrated Amplifier,AAB-310,AAB-310,Knob A (VOLUME)
A-80,Integrated Amplifier,AAB-311,AAB-311,Rotary knob B (BALANCE)
A-90,Integrated Amplifier,AAB-311,AAB-311,Knob B (BALANCE)
A-90,Integrated Amplifier,AAB-311,AAB-311,"Knob B (BASS, TREBLE, TURN0VER)"
A-90,Integrated Amplifier,AAB-312,AAB-312,"Knob C (MODE, SPEAKERS)"
A-80,Integrated Amplifier,AAB-313,AAB-313,Rotary knob D (PHONO SEL)
A-90,Integrated Amplifier,AAB-313,AAB-313,Knob D (PHONO SELECTOR)
SX-202,Receiver,AAB-316,AAB-316,Knob A (VOLUME)
SX-202,Receiver,AAB-317,AAB-317,"Knob B (BASS, TREBLE, BALANCE)"
SA-1040,Integrated Amplifier,AAB-324,AAB-324,Rotary knob A
SA-1050,Integrated Amplifier,AAB-324,AAB-324,Rotary knob A
SA-940,Integrated Amplifier,AAB-324,AAB-324,Rotary knob A (VOLUME)
SA-950,Integrated Amplifier,AAB-324,AAB-324,Rotary knob A (VOLUME)
SA-1040,Integrated Amplifier,AAB-325,AAB-325,Rotary knob B
SA-1050,Integrated Amplifier,AAB-325,AAB-325,Rotary knob B
SA-940,Integrated Amplifier,AAB-325,AAB-325,"Rotary knob B (BASS, TREBLE, BALANCE)"
SA-950,Integrated Amplifier,AAB-325,AAB-325,"Rotary knob B (BASS, TREBLE, BALANCE)"
A-60,Integrated Amplifier,AAB-331,AAB-331,"Rotary knob S (BASS, TREBLE, BALANCE)"
A-80,Integrated Amplifier,AAB-337,AAB-337,Rotary knob A (VOLUME)
A-80,Integrated Amplifier,AAB-338,AAB-338,"Rotary knob E (BASS, TREBLE)"
SX-60,Receiver,AAB-340,AAB-340,Knob (VOLUME)
SX-60,Receiver,AAB-341,AAB-341,Knob (BALANCE)
SX-50,Receiver,AAB-342,AAB-342,Knob (VOLUME)
SX-50,Receiver,AAB-343,AAB-343,Knob (BALANCE)
SG-90,Equalizer,AAB-345,AAB-345,Knob (INPUT LEVEL)
A-80,Integrated Amplifier,AAB-346,AAB-346,"Rotary knob C (SPEAKERS, MODE, TAPE COPY, TAPE MON)"
RG-60,Dynamic Range Expander,AAB-351,AAB-351,"Rotary knob (DYNAMIC EXPANSION SELECTOR,INPUT LEVEL)"
A-77X,Integrated Amplifier,AAB-377,AAB-377,Knob (VOLUME)
A-77X,Integrated Amplifier,AAB-378,AAB-378,Rotary knob (PHONO-SELECTOR)
A-88X,Integrated Amplifier,AAB-378,AAB-378,Rotary knob PHONO-SELECTOR)
A-88X,Integrated Amplifier,AAB-379,AAB-379,Rotary knob
A-77X,Integrated Amplifier,AAB-380,AAB-380,Rotary knob (BALANCE)
A-88X,Integrated Amplifier,AAB-380,AAB-380,Rotary knob (BALANCE)
A-77X,Integrated Amplifier,AAB-381,AAB-381,"Rotary knob (BASS, TREBLE)"
A-88X,Integrated Amplifier,AAB-381,AAB-381,"Rotary knob (BASS, TREBLE)"
A-88X,Integrated Amplifier,AAB-400,AAB-400,Knob (VOLUME)
A-66X,Integrated Amplifier,AAB-421,AAB-421,Rotary knob (VOLUME)(Black)
A-66X,Integrated Amplifier,AAB-422,AAB-422,Rotary knob (SPEAKERS) (Black)
A-66X,Integrated Amplifier,AAB-423,AAB-423,Rotary knob (BALANCE)(Black)
A-66X,Integrated Amplifier,AAB-424,AAB-424,Rotary knob (VOLUME)(Silver)
A-66X,Integrated Amplifier,AAB-425,AAB-425,Rotary knob (SPEAKERS)(Silver)
A-66X,Integrated Amplifier,AAB-426,AAB-426,Rotary knob (BALANCE)(Silver)
A-77X,Integrated Amplifier,AAB-427,AAB-427,Rotary knob (PHONO-SELECTOR) (Silver) - HE
A-77X,Integrated Amplifier,AAB-429,AAB-429,Rotary knob (BALANCE) (Silver) - HE
A-77X,Integrated Amplifier,AAB-430,AAB-430,"Rotary knob (BASS, TREBLE) (Silver) - HE"
A-77X,Integrated Amplifier,AAB-432,AAB-432,Knob (VOLUME) (Silver) - HE
SA-7500II,Integrated Amplifier,AAB-445,AAB-445,Knob (FUNCTION)
A-9,Integrated Amplifier,AAB-662,AAB-662,Knob (5k/2.5k)
SX-3400,Receiver,AAB-714,AAB-714,"Knob (VOLUME, FUNCTION)"
QX-9900,Receiver,AAC-023-A,AAC-023,Knob (BASS and TREBLE-FRONT)
QX-9900,Receiver,AAC-024-0,AAC-024,Knob (BASS and TREBLE-REAR)
SX-1010,Receiver,AAC-034-A,AAC-034,Ornamental ring
SX-838,Receiver,AAC-034-0,AAC-034,Ornamental ring
SX-939,Receiver,AAC-034-A,AAC-034,Ornamental ring
TX-950,Tuner,AAC-059,AAC-059,Knob (POWER)
QX-8000,Receiver,AAD-001-0,AAD-001,Knob for POWER
QX-8000A,Receiver,AAD-001-A,AAD-001,"Knob, POWER"
QM-800A,Amplifier,AAD-003-0,AAD-003,"Knob, power"
