model,category,part_number,normalized_part_number,description
A-27,Integrated Amplifier,AAB-165,AAB-165,Knob (VOLUME)
A-27,Integrated Amplifier,AAB-167,AAB-167,Knob (FUNCTION)
A-27,Integrated Amplifier,AAB-171,AAB-171,"Knob (SPEAKERS, BASS, TREBLE, BALANCE, MODE, DUPLICATE, CARTRIDGE LOAD)"
A-27,Integrated Amplifier,AAD-136,AAD-136,"Knob (POWER, TONE, SUBSONIC, MUTING)"
A-27,Integrated Amplifier,AAD-136,AAD-136,"Knob (TAPE MONITOR, PHONO)"
A-27,Integrated Amplifier,ACH-095,ACH-095,Electrolytic capacitor (18000uF 71V)
A-27,Integrated Amplifier,ACH-202,ACH-202,CAPACITOR
A-27,Integrated Amplifier,ACN-020,ACN-020,RESISTOR
A-27,Integrated Amplifier,ACN-022,ACN-022,Wire wound resistor 10Ω 10W - S
A-27,Integrated Amplifier,ACN-022,ACN-022,Wire wound resistor 10Ω 10W - S/G
A-27,Integrated Amplifier,ACV-191,ACV-191,Variable dual 10k (BALANCE)
A-27,Integrated Amplifier,ACW-109,ACW-109,Variable 100k (SUB BASS - 50Hz)
A-27,Integrated Amplifier,ACW-110,ACW-110,Variable 100k (MAlN BASS - 100Hz)
A-27,Integrated Amplifier,ACW-111,ACW-111,Variable 10k (MAlN TREBLE - 10kHz)
A-27,Integrated Amplifier,ACW-112,ACW-112,Variable 10k (SUB TREBLE - 20kHz)
A-27,Integrated Amplifier,ACW-117,ACW-117,Variable dual 50k (VOLUME)
A-27,Integrated Amplifier,ADG-015,ADG-015,AC power cord - S
A-27,Integrated Amplifier,ADG-015,ADG-015,AC power cord - S/G
A-27,Integrated Amplifier,ADG-029,ADG-029,AC power cord - KU
A-27,Integrated Amplifier,AEB-106,AEB-106,Rubber bracket
A-27,Integrated Amplifier,AEC-099,AEC-099,Capacitor cover (for C2) - S
A-27,Integrated Amplifier,AEC-099,AEC-099,Capacitor cover (for C2) - S/G
A-27,Integrated Amplifier,AEC-279,AEC-279,Capacitor cover (for C2) - KU
A-27,Integrated Amplifier,AEC-294,AEC-294,Capacitor cover (for C1) - KU
A-27,Integrated Amplifier,AEC-327,AEC-327,Strain reIief
A-27,Integrated Amplifier,AEC-410,AEC-410,Transistor cover
A-27,Integrated Amplifier,AEC-485,AEC-485,Foot assembly
A-27,Integrated Amplifier,AEK-108,AEK-108,Fuse 5A - KU
A-27,Integrated Amplifier,AEK-108,AEK-108,Fuse 5A - KU
A-27,Integrated Amplifier,AEK-109,AEK-109,"Fuse 6A (for 220, 240V) - S"
A-27,Integrated Amplifier,AEK-109,AEK-109,"Fuse 6A (for 220, 240V) - S/G"
A-27,Integrated Amplifier,AEK-113,AEK-113,"Fuse 12A (for 110, 120V) - S"
A-27,Integrated Amplifier,AEK-113,AEK-113,"Fuse 12A (for 110, 120V) - S/G"
A-27,Integrated Amplifier,AEL-047,AEL-047,Lamp with wires (8V 50mA)
A-27,Integrated Amplifier,AEX-001,AEX-001,Micro temp
A-27,Integrated Amplifier,AHA-172,AHA-172,Top pad L
A-27,Integrated Amplifier,AHA-173,AHA-173,Top pad R
A-27,Integrated Amplifier,AHA-174,AHA-174,Bottom pad L
A-27,Integrated Amplifier,AHA-175,AHA-175,Bottom pad R
A-27,Integrated Amplifier,AHA-196,AHA-196,Top pad
A-27,Integrated Amplifier,AHB-087,AHB-087,Spacer L
A-27,Integrated Amplifier,AHB-088,AHB-088,Spacer R
A-27,Integrated Amplifier,AHB-098,AHB-098,Cardboard Spacer - S/G
A-27,Integrated Amplifier,AHC-041,AHC-041,Inside packing
A-27,Integrated Amplifier,AHD-575,AHD-575,Packing case - KU
A-27,Integrated Amplifier,AHD-575,AHD-575,Packing case - S
A-27,Integrated Amplifier,AHD-585,AHD-585,Packing case - S/G
A-27,Integrated Amplifier,AHG-027,AHG-027,Vinyl pouch
A-27,Integrated Amplifier,AKB-051,AKB-051,"Terminal (TUNER, AUX, TAPE, PRE OUT, POWER AMP IN)"
A-27,Integrated Amplifier,AKB-052,AKB-052,Terminal (PHONO)
A-27,Integrated Amplifier,AKC-030,AKC-030,Terminal strip 2P - S
A-27,Integrated Amplifier,AKC-030,AKC-030,Terminal Strip 2P - S/G
A-27,Integrated Amplifier,AKE-037,AKE-037,"Terminal (SPEAKERS) - S,S/G"
A-27,Integrated Amplifier,AKE-039,AKE-039,Terminal (GND)
A-27,Integrated Amplifier,AKE-040,AKE-040,Terminal (SPEAKERS) - KU
A-27,Integrated Amplifier,AKF-028,AKF-028,Contact (for connector)
A-27,Integrated Amplifier,AKH-012,AKH-012,Transistor socket
A-27,Integrated Amplifier,AKM-050,AKM-050,Short plug
A-27,Integrated Amplifier,AKN-023,AKN-023,Phone jack (PHONES)
A-27,Integrated Amplifier,AKP-004,AKP-004,AC socket (AC OUTLETS) - KU
A-27,Integrated Amplifier,AKP-021,AKP-021,AC socket (AC OUTLETS) - S
A-27,Integrated Amplifier,AKP-021,AKP-021,AC Socket (AC OUTLETS) - S/G
A-27,Integrated Amplifier,AKR-031,AKR-031,Plug in selector (with fuse holder) - S
A-27,Integrated Amplifier,AKR-031,AKR-031,Plug in selector (with fuse holder) - S/G
A-27,Integrated Amplifier,AKR-032,AKR-032,Fuse holder 1P - KU
A-27,Integrated Amplifier,AKX-015,AKX-015,Connector housing 3P
A-27,Integrated Amplifier,AKX-016,AKX-016,Connector housing 4P
A-27,Integrated Amplifier,AKX-017,AKX-017,Connector housing 5P
A-27,Integrated Amplifier,AKX-018,AKX-018,Connector housing 6P
A-27,Integrated Amplifier,ANB-632,ANB-632,Front panel assembly
A-27,Integrated Amplifier,ANE-185,ANE-185,Top cover - S
A-27,Integrated Amplifier,ANE-185,ANE-185,Top cover - S/G
A-27,Integrated Amplifier,ANE-210,ANE-210,Top cover - KU
A-27,Integrated Amplifier,ANH-340,ANH-340,Heat sink
A-27,Integrated Amplifier,ANH-400,ANH-400,Heat sink
A-27,Integrated Amplifier,ANK-018,ANK-018,Hexagonal wrench
A-27,Integrated Amplifier,ARB-284,ARB-284,Operating instructions  A-27 - KU
A-27,Integrated Amplifier,ARB-288,ARB-288,Operating instructions  A-27 - S
A-27,Integrated Amplifier,ARB-288,ARB-288,Operating instructions  A-27 - S/G
A-27,Integrated Amplifier,ART-321-0,ART-321,Service manual addnl  A-27
A-27,Integrated Amplifier,ASD-102,ASD-102,Rotary (DUPLICATE)
A-27,Integrated Amplifier,ASD-110,ASD-110,Rotary (FUNCTION)
A-27,Integrated Amplifier,ASE-102,ASE-102,Rotary slide (CARTRIDGE LOAD)
A-27,Integrated Amplifier,ASE-102,ASE-102,Rotary slide (MODE)
A-27,Integrated Amplifier,ASE-104,ASE-104,Rotary slide (SPEAKERS)
A-27,Integrated Amplifier,ASH-002,ASH-002,"Slide switch (PRE/POWER AMP) - S, S/G"
A-27,Integrated Amplifier,ASH-002,ASH-002,Slide switch(PRE/POWER AMP)
A-27,Integrated Amplifier,ASK-139,ASK-139,Lever (PHONO)
A-27,Integrated Amplifier,ASK-139,ASK-139,Lever (TONE)
A-27,Integrated Amplifier,ASK-139,ASK-139,Lever switch (PHONO)
A-27,Integrated Amplifier,ASK-139,ASK-139,Lever switch (TONE)
A-27,Integrated Amplifier,ASK-142,ASK-142,"Lever (SUBSONIC, MUTING)"
A-27,Integrated Amplifier,ASK-143,ASK-143,Lever (TAPE MONITOR)
A-27,Integrated Amplifier,ASK-502,ASK-502,Lever switch (POWER) - S
A-27,Integrated Amplifier,ASK-502,ASK-502,Lever switch (POWER) - S/G
A-27,Integrated Amplifier,ASK-509,ASK-509,Lever switch (POWER) - KU
A-27,Integrated Amplifier,ASR-042,ASR-042,Relay (PHONES)
A-27,Integrated Amplifier,ASR-042,ASR-042,"Relay - S, S/G"
A-27,Integrated Amplifier,ASR-047,ASR-047,Relay (SPEAKER PROTECTION)
A-27,Integrated Amplifier,ASR-049,ASR-049,Relay
A-27,Integrated Amplifier,ASR-049,ASR-049,Relay - S
A-27,Integrated Amplifier,ASR-049,ASR-049,Relay - S/G
A-27,Integrated Amplifier,ATT-528,ATT-528,Power transformer (L)
A-27,Integrated Amplifier,ATT-528,ATT-528,Power transformer (L) - KU
A-27,Integrated Amplifier,ATT-529,ATT-529,Power transformer (R)
A-27,Integrated Amplifier,ATT-529,ATT-529,Power transformer (R) - KU
A-27,Integrated Amplifier,ATT-538,ATT-538,Power transformer (L) - S
A-27,Integrated Amplifier,ATT-538,ATT-538,Power transformer (L) - S/G
A-27,Integrated Amplifier,ATT-539,ATT-539,Power transformer (R) - S
A-27,Integrated Amplifier,ATT-539,ATT-539,Power transformer (R) - S/G
A-27,Integrated Amplifier,AWF-034,AWF-034,Head amplifier assembly
A-27,Integrated Amplifier,AWH-079,AWH-079,Power amplifier assembly
A-27,Integrated Amplifier,AWR-176,AWR-176,Power supply assemby
A-27,Integrated Amplifier,AWX-145,AWX-145,Surge killer assembly - KU
A-27,Integrated Amplifier,E11-024,E11-024,Vinyl bag
A-27,Integrated Amplifier,E11-033,E11-033,Vinyl pouch (for fuses) - S
A-27,Integrated Amplifier,E11-033,E11-033,Vinyl pouch (for fuses) - S/G
A-27,Integrated Amplifier,GWG-118,GWG-118,Volume assembly
A-27,Integrated Amplifier,GWG-119,GWG-119,Tone assembly
A-27,Integrated Amplifier,GWS-150,GWS-150,Function assembly
A-27,Integrated Amplifier,GWS-151,GWS-151,Duplicate assembly
A-27,Integrated Amplifier,GWX-137,GWX-137,Output terminal assembly - S
A-27,Integrated Amplifier,GWX-137,GWX-137,Output terminal assembly - S/G
A-27,Integrated Amplifier,GWX-138,GWX-138,Pin jack assembly - S
A-27,Integrated Amplifier,GWX-138,GWX-138,Pin jack assembly - S/G
A-27,Integrated Amplifier,GWX-139,GWX-139,Fuse holder assembly
A-27,Integrated Amplifier,GWX-140,GWX-140,Tr socket assembly A
A-27,Integrated Amplifier,GWX-141,GWX-141,Tr socket assembly B
A-27,Integrated Amplifier,GWX-142,GWX-142,Tr socket assembly C
A-27,Integrated Amplifier,GWX-143,GWX-143,Tr socket assembly D
A-27,Integrated Amplifier,GWX-210,GWX-210,Headphones assembly
A-27,Integrated Amplifier,GWX-211,GWX-211,Output terminal assembly - KU
A-27,Integrated Amplifier,GWX-212,GWX-212,Pin jack assembly - KU
A-40,Integrated Amplifier,ACH-238,ACH-238,CAPA(8200/56V)SA1060
A-40,Integrated Amplifier,ACN-131,ACN-131,RESISTOR(.22 OHMS/2 WATT X 2)
A-40,Integrated Amplifier,AEL-369,AEL-369,"LED(VCR#1/VCR#2 ""ORANGE"")"
A-40,Integrated Amplifier,AEL-370,AEL-370,LED SA930
A-40,Integrated Amplifier,AKH-017,AKH-017,TRANSISTOR SOCKET
A-40,Integrated Amplifier,ANB-632,ANB-632,FRONT PANEL
A-40,Integrated Amplifier,ARB-284,ARB-284,Operating instructions A-27
A-40,Integrated Amplifier,ASG-541,ASG-541,SWITCH(POWER/FUNCTION)
A-40,Integrated Amplifier,ASG-812,ASG-812,SWITCH(FUNCT-TUNER/PHONO/TAPE)
A-40,Integrated Amplifier,SEA8V2BBB4S,SEA8V2BBB4S,SWITCH(LOUDNESS/ADAPTOR/TAPE 2)
A-40,Integrated Amplifier,SEAV4S,SEAV4S,SWITCH(FUNCTION-AUX#1/#2...ETC.
A-40,Integrated Amplifier,SUL6MYBXSFC,SUL6MYBXSFC,"SWITCH(SPEAKER ""A""/""B"")"
A-5,Integrated Amplifier,ACH-211,ACH-211,CAPACITOR(5600 MFD/50 VOLTS)
A-5,Integrated Amplifier,ACT-140,ACT-140,CONTROL(BASS/TREBLE)
A-5,Integrated Amplifier,ADG-052,ADG-052,POWER CORD
A-5,Integrated Amplifier,AEK-101,AEK-101,FUSE(3 AMPS/125 VOLTS)
A-5,Integrated Amplifier,AKB-078,AKB-078,PIN JACK
A-5,Integrated Amplifier,AKB-079,AKB-079,PIN JACK
A-5,Integrated Amplifier,AKN-030,AKN-030,JACK(HEADPHONE)
A-5,Integrated Amplifier,ASG-278,ASG-278,SWITCH(LOUDNESS/MUTING)
A-5,Integrated Amplifier,ASG-288,ASG-288,SWITCH(SPEAKERS/TONE/MUTING)
A-5,Integrated Amplifier,ASG-408,ASG-408,SWITCH(FUNCTION)
A-5,Integrated Amplifier,ASG-521,ASG-521,SWITCH(POWER)
A-5,Integrated Amplifier,ASX-203,ASX-203,SWITCH(REC OUT SELECTOR)
A-51,Integrated Amplifier,AEK-125,AEK-125,FUSE 4A * REK1066
A-51,Integrated Amplifier,ASD1003,ASD1003,SWITCH(SPKR)
A-51,Integrated Amplifier,ASG-553,ASG-553,SWITCH(POWER)A91D
A-51,Integrated Amplifier,ASG1019,ASG1019,SWITCH(LOUDNESS/TAPE-3)
A-51,Integrated Amplifier,ASG1021,ASG1021,SWITCH(LOUDNESS)A71
A-51,Integrated Amplifier,ASG1032,ASG1032,SWITCH(DIRECT)
A-51,Integrated Amplifier,ASU1016,ASU1016,SWITCH(REC SELECTOR/INPUT SEL)
A-51,Integrated Amplifier,ASU1026,ASU1026,SWITCH(PHONO SELECTOR CONT)
A-51,Integrated Amplifier,ASU1038,ASU1038,SWITCH(REC SELECT)
A-51,Integrated Amplifier,ASU1039,ASU1039,SWITCH(INPUT SELECT)
A-6,Integrated Amplifier,AAB-270,AAB-270,Knob (VOLUME)
A-6,Integrated Amplifier,AAB-271,AAB-271,"Knob (BASS, TREBLE, REC-OUT SELECTOR)"
A-6,Integrated Amplifier,AAB-272,AAB-272,Knob (BALANCE)
A-6,Integrated Amplifier,AAD-338,AAD-338,Knob (POWER)
A-6,Integrated Amplifier,ACG-019,ACG-019,Ceramic capacitor (0.01/AC150V) - KU
A-6,Integrated Amplifier,ACH-212,ACH-212,Electrolytic (12000/56V)
A-6,Integrated Amplifier,ACT-140,ACT-140,Variable resistor 100K (BASS)
A-6,Integrated Amplifier,ACT-140,ACT-140,Variable resistor 100K (TREBLE)
A-6,Integrated Amplifier,ACV-410,ACV-410,"Variable resistor (VOLUME 100K, BALANCE 500K)"
A-6,Integrated Amplifier,ADG-041,ADG-041,AC power cord - HE
A-6,Integrated Amplifier,ADG-051,ADG-051,AC power cord - HB
A-6,Integrated Amplifier,ADG-052,ADG-052,AC power cord - KU
A-6,Integrated Amplifier,AEC-327,AEC-327,Strain relief
A-6,Integrated Amplifier,AEC-383,AEC-383,Foot assembly
A-6,Integrated Amplifier,AEK-017,AEK-017,Fuse (T2A/AC250V) - HB
A-6,Integrated Amplifier,AEK-017,AEK-017,Fuse (T2A/AC250V) - HE
A-6,Integrated Amplifier,AEK-108,AEK-108,Fuse (5A) - KU
A-6,Integrated Amplifier,AEK-108,AEK-108,Fuse (5A/125V)
A-6,Integrated Amplifier,AEK-403,AEK-403,Fuse (T2.5A/AC250V) - HE
A-6,Integrated Amplifier,AHD-921,AHD-921,Packing case
A-6,Integrated Amplifier,AKB-078,AKB-078,Terminal (TAPE 2)
A-6,Integrated Amplifier,AKB-078,AKB-078,Terminal (TAPE1)
A-6,Integrated Amplifier,AKB-079,AKB-079,Terminal (INPUT)
A-6,Integrated Amplifier,AKE-051,AKE-051,Terminal (SPEAKERS)
A-6,Integrated Amplifier,AKN-030,AKN-030,Headphone jack
A-6,Integrated Amplifier,AKP-026,AKP-026,AC socket (AC OUTLETS) - HE
A-6,Integrated Amplifier,AKP-041,AKP-041,AC socket (AC OUTLETS) - KU
A-6,Integrated Amplifier,AKP-044,AKP-044,AC socket (AC OUTLETS) - HB
A-6,Integrated Amplifier,ANE-345,ANE-345,Top cover
A-6,Integrated Amplifier,ANM-025,ANM-025,Front panel assembly
A-6,Integrated Amplifier,ARB-415,ARB-415,Operating instructions (English - KU)  A-6
A-6,Integrated Amplifier,ARB-422,ARB-422,Operating instructions (English - HB)  A-6
A-6,Integrated Amplifier,ARD-168,ARD-168,"Operating instructions (English, French, German, Italian - HE)  A-6"
A-6,Integrated Amplifier,ART-617-0,ART-617,Service manual Repair & adjustments  A-6
A-6,Integrated Amplifier,ART-618-0,ART-618,"Service manual Additional HE,HB  A-6"
A-6,Integrated Amplifier,ART-672-0,ART-672,Service manual  Circuit descriptions  A-6
A-6,Integrated Amplifier,ASG-278,ASG-278,Push switch (LOUDNESS)
A-6,Integrated Amplifier,ASG-287,ASG-287,Push switch
A-6,Integrated Amplifier,ASG-287,ASG-287,"Push switch (SPEAKERS, TONE, SUBSONIC,MUTING, PHONO)"
A-6,Integrated Amplifier,ASG-408,ASG-408,"Push switch (FUNCTlON - PHONO,TUNER,AUX,TAPE1,TAPE2)"
A-6,Integrated Amplifier,ASG-521,ASG-521,Push switch (POWER) - KU
A-6,Integrated Amplifier,ASG-522,ASG-522,Push switch (POWER) - HB
A-6,Integrated Amplifier,ASG-522,ASG-522,Push switch (POWER) - HE
A-6,Integrated Amplifier,ASR-033,ASR-033,Relay
A-6,Integrated Amplifier,ASX-169,ASX-169,Remote slide switch (REC OUT SELECTOR)
A-6,Integrated Amplifier,ASX-203,ASX-203,Remote slide switch (REC OUT SELECTOR)
A-6,Integrated Amplifier,ATT-796,ATT-796,Power transformer (120V) - KU
A-6,Integrated Amplifier,ATT-798,ATT-798,"Power transformer (220V, 240V) - HB"
A-6,Integrated Amplifier,ATT-798,ATT-798,"Power transformer (220V, 240V) - HE"
A-6,Integrated Amplifier,AWX-212,AWX-212,Composition assembly (Function switch ass’y + Tone control assembly)
A-6,Integrated Amplifier,GWK-179,GWK-179,AF assembly (KU)
A-6,Integrated Amplifier,GWK-181,GWK-181,AF assembly (HB)
A-6,Integrated Amplifier,GWK-181,GWK-181,AF assembly (HE)
A-6,Integrated Amplifier,GWX-659,GWX-659,Indicator assembly
A-60,Integrated Amplifier,AAB-308,AAB-308,Rotary knob A (VOLUME)
A-60,Integrated Amplifier,AAB-331,AAB-331,"Rotary knob S (BASS, TREBLE, BALANCE)"
A-60,Integrated Amplifier,AAD-544,AAD-544,Push knob A (POWER)
A-60,Integrated Amplifier,AAD-555,AAD-555,"Push knob B ass'y (LOUDNESS, SUBSONIC, TAPE1, TAPE2, MON OFF)"
A-60,Integrated Amplifier,AAD-559,AAD-559,"Function knob ass'y (MC/MM, PHONO, TUNER, CD/AUX)"
A-60,Integrated Amplifier,AAD-658,AAD-658,Push knob LS ass'y(LINE/STRAIGHT)
A-60,Integrated Amplifier,AAD-659,AAD-659,Push knob SP ass'y(SPEAKER)
A-60,Integrated Amplifier,ACE-214,ACE-214,Capacitor (0.22/AC125V) - KU
A-60,Integrated Amplifier,ACE-215,ACE-215,Capacitor (0.22/AC250V) - HB
A-60,Integrated Amplifier,ACE-215,ACE-215,Capacitor (0.22/AC250V) - HE
A-60,Integrated Amplifier,ACE-215,ACE-215,Capacitor (0.22/AC250V) - S
A-60,Integrated Amplifier,ACE-215,ACE-215,Capacitor (0.22/AC250V) - YP
A-60,Integrated Amplifier,ACG-001,ACG-001,Capacitor (0.01/AC250V) - KU
A-60,Integrated Amplifier,ACG-502,ACG-502,Capacitor (0.01/AC125V) - HB
A-60,Integrated Amplifier,ACG-502,ACG-502,Capacitor (0.01/AC125V) - HE
A-60,Integrated Amplifier,ACG-502,ACG-502,Capacitor (0.01/AC125V) - YP
A-60,Integrated Amplifier,ACH-263,ACH-263,CAPACITOR A60 (8200UF/56V)
A-60,Integrated Amplifier,ACH-264,ACH-264,CAPACITOR A60 (10000UF/80V)
A-60,Integrated Amplifier,ACN-139,ACN-139,RESISTOR(.33X2/5W)
A-60,Integrated Amplifier,ACT-177,ACT-177,Variable resistor dual 100k (BASS)
A-60,Integrated Amplifier,ACT-177,ACT-177,Variable resistor dual 100k (TREBLE)
A-60,Integrated Amplifier,ACT-184,ACT-184,Variable resistor dual 250k (BALANCE)
A-60,Integrated Amplifier,ACW-132,ACW-132,Variable resistor 68k (VOLUME)
A-60,Integrated Amplifier,ADG-060,ADG-060,AC power cord - S
A-60,Integrated Amplifier,ADG-063,ADG-063,AC power cord - HB
A-60,Integrated Amplifier,ADG-064,ADG-064,AC power cord - YP
A-60,Integrated Amplifier,ADG-068,ADG-068,AC power cord - HE
A-60,Integrated Amplifier,ADG-073,ADG-073,AC power cord - KU
A-60,Integrated Amplifier,AEC-383,AEC-383,Foot ass’y
A-60,Integrated Amplifier,AEC-525,AEC-525,Nylon rivet
A-60,Integrated Amplifier,AEC-800,AEC-800,Flexible ring
A-60,Integrated Amplifier,AEK-042,AEK-042,Fuse (T3.15A) - HB
A-60,Integrated Amplifier,AEK-042,AEK-042,Fuse (T3.15A) - HE
A-60,Integrated Amplifier,AEK-042,AEK-042,Fuse (T3.15A) - YP
A-60,Integrated Amplifier,AEK-124,AEK-124,Fuse (3.15A) - S
A-60,Integrated Amplifier,AEK-124,AEK-124,Fuse (3.15A) - S
A-60,Integrated Amplifier,AEK-309,AEK-309,Fuse (6.3A) - KU
A-60,Integrated Amplifier,AEK-401,AEK-401,Fuse (T500mA) - HB
A-60,Integrated Amplifier,AEK-401,AEK-401,Fuse (T500mA) - HB
A-60,Integrated Amplifier,AEK-401,AEK-401,Fuse (T500mA) - HE
A-60,Integrated Amplifier,AEK-401,AEK-401,Fuse (T500mA) - HE
A-60,Integrated Amplifier,AEL-404,AEL-404,LED
A-60,Integrated Amplifier,AHA-344,AHA-344,Side pad
A-60,Integrated Amplifier,AHE-221,AHE-221,Packing case - HB
A-60,Integrated Amplifier,AHE-221,AHE-221,Packing case - KU
A-60,Integrated Amplifier,AHE-221,AHE-221,Packing case - YP
A-60,Integrated Amplifier,AHE-252,AHE-252,Packing case - HE
A-60,Integrated Amplifier,AKB-094,AKB-094,Terminal (INPUT)
A-60,Integrated Amplifier,AKB-094,AKB-094,"Terminal (TAPE 1, TAPE 2)"
A-60,Integrated Amplifier,AKB-098,AKB-098,Terminal (PHONO L)
A-60,Integrated Amplifier,AKB-099,AKB-099,Terrnmal (PHONO R)
A-60,Integrated Amplifier,AKE-055,AKE-055,Terminal (SPEAKERS)
A-60,Integrated Amplifier,AKE-055,AKE-055,Terminal (SPEAKERS)
A-60,Integrated Amplifier,AKN-045,AKN-045,Phone jack (PHONES)
A-60,Integrated Amplifier,AKP-501,AKP-501,AC socket (AC OUTLETS) - KU
A-60,Integrated Amplifier,AKP-502,AKP-502,AC socket - HE
A-60,Integrated Amplifier,AKP-505,AKP-505,AC socket - HB
A-60,Integrated Amplifier,AKX-503,AKX-503,Line voltage selector - S
A-60,Integrated Amplifier,ANE-452,ANE-452,Bonnet case
A-60,Integrated Amplifier,ANM-432,ANM-432,Front Panel ass'y
A-60,Integrated Amplifier,ARB-555,ARB-555,Operating instructions  A-60 (English) - KU
A-60,Integrated Amplifier,ARB-555,ARB-555,Operating instructions  A-60 (English) - S
A-60,Integrated Amplifier,ARB-555,ARB-555,Operating instructions (English) - HB
A-60,Integrated Amplifier,ARB-555,ARB-555,Operating instructions (English) - KU
A-60,Integrated Amplifier,ARB-555,ARB-555,Operating instructions (English) - YP
A-60,Integrated Amplifier,ARC-058,ARC-058,Operating instructions  A-60 (Spanish) - S
A-60,Integrated Amplifier,ARE-073,ARE-073,"Operating instructions (English French, German, Italian) - HE"
A-60,Integrated Amplifier,ARP-318-0,ARP-318,Service manual  A-60 - KU
A-60,Integrated Amplifier,ASG-545,ASG-545,Push switch (POWER)
A-60,Integrated Amplifier,ASG-814,ASG-814,Push switch (FUNCTlON)
A-60,Integrated Amplifier,ASG-815,ASG-815,Push switch (SUBSONIC/TAPE 1 & 2/OFF)
A-60,Integrated Amplifier,ASH-028,ASH-028,Slide switch (SPEAKER IMPEDANCE)
A-60,Integrated Amplifier,ATS-014,ATS-014,Power transformer (120V) - KU
A-60,Integrated Amplifier,ATS-027,ATS-027,Power transformer (220V/240V) - HB
A-60,Integrated Amplifier,ATS-027,ATS-027,Power transformer (220V/240V) - HE
A-60,Integrated Amplifier,ATS-027,ATS-027,Power transformer (220V/240V) - YP
A-60,Integrated Amplifier,ATS-049,ATS-049,"Power transformer (110V, 120V, 220V, 240V) - S"
A-60,Integrated Amplifier,AWF-060,AWF-060,Equalizer amp. ass’y
A-60,Integrated Amplifier,GWG-179,GWG-179,Control ass'y
