model,category,part_number,normalized_part_number,description
SA-530,Integrated Amplifier,AAB-283,AAB-283,"Rotary knob (SPEAKERS, BASS, TREBLE, BALANCE)"
SA-530,Integrated Amplifier,AAD-417,AAD-417,Push knob A (POWER)
SA-530,Integrated Amplifier,AAD-418,AAD-418,"Push knob B (LOUDNESS, TAPE2/ADAPTOR)"
SA-530,Integrated Amplifier,AAV-303,AAV-303,LED level meter module
SA-530,Integrated Amplifier,ACE-327,ACE-327,Strain relief - KU
SA-530,Integrated Amplifier,ACG-001,ACG-001,Ceramic capacitor (0.01/AC220V) - HB
SA-530,Integrated Amplifier,ACG-001,ACG-001,Ceramic capacitor (0.01/AC220V) - HE
SA-530,Integrated Amplifier,ACG-001,ACG-001,Ceramic capacitor (0.01/AC220V) - HEZ
SA-530,Integrated Amplifier,ACG-001,ACG-001,Ceramic capacitor (0.01/AC220V) - S
SA-530,Integrated Amplifier,ACG-001,ACG-001,Ceramic capacitor (0.01/AC220V) - YP
SA-530,Integrated Amplifier,ACG-017,ACG-017,Ceramic capacitor (0.01/AC125V) - KU
SA-530,Integrated Amplifier,ACH-239,ACH-239,Electrolytic capacitor (5600/42V)
SA-530,Integrated Amplifier,ACT-027,ACT-027,Variable 100k (BALANCE)
SA-530,Integrated Amplifier,ACT-149,ACT-149,"Variable 100k (BASS,TREBLE)"
SA-530,Integrated Amplifier,ACT-149,ACT-149,Variable resistor (BASS)
SA-530,Integrated Amplifier,ACT-149,ACT-149,Variable resistor (TREBLE)
SA-530,Integrated Amplifier,ACX-109,ACX-109,Variable 250k (VOLUME)
SA-530,Integrated Amplifier,ADG-052,ADG-052,AC power cord - KU
SA-530,Integrated Amplifier,ADG-060,ADG-060,AC power cord - S
SA-530,Integrated Amplifier,ADG-063,ADG-063,AC power cord - HB
SA-530,Integrated Amplifier,ADG-065,ADG-065,AC power cord - HE
SA-530,Integrated Amplifier,ADG-065,ADG-065,AC power cord - HEZ
SA-530,Integrated Amplifier,ADG-067,ADG-067,AC power cord - YP
SA-530,Integrated Amplifier,AEC-318,AEC-318,Mica wafer
SA-530,Integrated Amplifier,AEC-327,AEC-327,Strain relief
SA-530,Integrated Amplifier,AEC-784,AEC-784,Foot assembly
SA-530,Integrated Amplifier,AEK-121,AEK-121,Fuse (1.6A) - S
SA-530,Integrated Amplifier,AEK-124,AEK-124,Fuse (3.15A)
SA-530,Integrated Amplifier,AEK-124,AEK-124,Fuse (3.15A) - KU
SA-530,Integrated Amplifier,AEK-125,AEK-125,Fuse (5A) - S
SA-530,Integrated Amplifier,AEK-126,AEK-126,Fuse (5A) - KU
SA-530,Integrated Amplifier,AEK-402,AEK-402,Fuse (T1A) - HB
SA-530,Integrated Amplifier,AEK-402,AEK-402,Fuse (T1A) - HE
SA-530,Integrated Amplifier,AEK-402,AEK-402,Fuse (T1A) - HEZ
SA-530,Integrated Amplifier,AEK-402,AEK-402,Fuse (T1A) - YP
SA-530,Integrated Amplifier,AEK-403,AEK-403,Fuse (T2.5A) - HB
SA-530,Integrated Amplifier,AEK-403,AEK-403,Fuse (T2.5A) - HE
SA-530,Integrated Amplifier,AEK-403,AEK-403,Fuse (T2.5A) - HEZ
SA-530,Integrated Amplifier,AEK-403,AEK-403,Fuse (T2.5A) - HEZ
SA-530,Integrated Amplifier,AEK-403,AEK-403,Fuse (T2.5A) - YP
SA-530,Integrated Amplifier,AEL-157,AEL-157,Lamp assembly (FUNCTION INDICATORS)
SA-530,Integrated Amplifier,AHA-298,AHA-298,Front rear pad
SA-530,Integrated Amplifier,AHE-030,AHE-030,Packing case - KU
SA-530,Integrated Amplifier,AHE-036,AHE-036,Packing case - HB
SA-530,Integrated Amplifier,AHE-036,AHE-036,Packing case - HE
SA-530,Integrated Amplifier,AHE-036,AHE-036,Packing case - HEZ
SA-530,Integrated Amplifier,AHE-036,AHE-036,Packing case - S
SA-530,Integrated Amplifier,AHE-036,AHE-036,Packing case - YP
SA-530,Integrated Amplifier,AKB-077,AKB-077,Terminal 2P (PHONES)
SA-530,Integrated Amplifier,AKB-078,AKB-078,Terminal 4P (TAPE1)
