model,category,part_number,normalized_part_number,description
Exclusive M3,Amplifier,M49-052-A,M49-052,Phone jack-held metal
CT-F7171,Cassette Tape,M49-127-A,M49-127,Angle
QX-646,Receiver,M49-127-A,M49-127,AC socket holder (KUW model only)
SX-626 (1973),Receiver,M49-127-A,M49-127,"AC socket-held metal    KUW, KCW, FVZW, FW"
TX-6200,Tuner,M49-127-A,M49-127,Setting plate
TX-7100,Tuner,M49-127-A,M49-127,AC outlet-held metal
TX-8100,Tuner,M49-127-A,M49-127,AC outlet-held metal
TX-9100,Tuner,M49-127-A,M49-127,AC socket-held metal
TX-9500,Tuner,M49-127-0,M49-127,Socket mount plate
QT-6100,Reel To Reel Tape,M49-128-A,M49-128,Mounting plate
SD-1100,Other,M49-128-0,M49-128,Terminal-hold metal
PL-50,Turntable,M52-010-0,M52-010,Washer
QL-600,Integrated Amplifier,M52-010-0,M52-010,Screw to ﬁx Wooden Case M4 x 20
QL-600A,Integrated Amplifier,M52-010-0,M52-010,Special washer (square)
QT-6100,Reel To Reel Tape,M52-010-0,M52-010,Special nut
QX-8000,Receiver,M52-010-0,M52-010,Washer (square)
QX-8000A,Receiver,M52-010-0,M52-010,Special washer (square)
SX-6000,Receiver,M52-010-0,M52-010,Washer (Square)
SX-770,Receiver,M52-112-0,M52-112,Wooden Base
SX-1500TD,Receiver,M52-119-C,M52-119,Wooden case
SX-990,Receiver,M52-119-0,M52-119,Wooden Case
SX-2500,Receiver,M52-130-C,M52-130,Wooden Case
QA-800,Integrated Amplifier,M52-139-C,M52-139,Wooden case
QM-800,Amplifier,M52-139-C,M52-139,Wooden case
SA-1000,Integrated Amplifier,M52-139-C,M52-139,Wooden case
SA-600,Integrated Amplifier,M52-139-0,M52-139,Wooden case
SA-800,Integrated Amplifier,M52-139-C,M52-139,Wooden case
SD-1000,Other,M52-139-0,M52-139,Wooden case
TX-1000,Tuner,M52-139,M52-139,BONNET
TX-600,Tuner,M52-139,M52-139,BONNET
TX-800,Tuner,M52-139,M52-139,BONNET
PL-A45D,Turntable,M52-150-A,M52-150,Plate
PL-50,Turntable,M53-021-0,M53-021,Wooden base
PL-A25,Turntable,M53-618-F,M53-618,Wooden base
SX-1000TA (Later),Receiver,M61-003-0,M61-003,Foot
SX-1000TD,Receiver,M61-003-0,M61-003,Foot
SX-1000TW,Receiver,M61-003-0,M61-003,Foot
SX-1500T,Receiver,M61-003-0,M61-003,Foot
SX-700T,Receiver,M61-003-0,M61-003,Foot
SA-500A,Integrated Amplifier,M61-017-A,M61-017,Foot
SA-700,Integrated Amplifier,M61-017-0,M61-017,Foot
SA-900,Integrated Amplifier,M61-017-0,M61-017,Foot
SD-1000,Other,M61-017-O,M61-017,Foot
SX-1500TD,Receiver,M61-017-0,M61-017,Foot
SX-2500,Receiver,M61-017-0,M61-017,Foot
SX-440,Receiver,M61-017-0,M61-017,Foot
SX-9000,Receiver,M61-017-0,M61-017,Foot
SX-990,Receiver,M61-017-0,M61-017,Foot
TX-700,Tuner,M61-017,M61-017,FOOT
PL-15D,Turntable,M62-150-0,M62-150,Plate
PL-A35,Turntable,M62-150-0,M62-150,Plate
PL-25/F,Turntable,M62-601-C,M62-601,Hinge (A)
PL-25/F,Turntable,M62-601-C,M62-601,Hinge (B)
PL-25/F,Turntable,M62-601-C,M62-601,Hinge (C)
PL-A25,Turntable,M62-601-B,M62-601,Hinge (A)
PL-A25,Turntable,M62-601-B,M62-601,Hinge (B)
PL-A25,Turntable,M62-601-B,M62-601,Hinge (C)
PL-25/F,Turntable,M62-602-0,M62-602,Screw
PL-A25,Turntable,M62-602-0,M62-602,Screw
PL-25/F,Turntable,M62-603-0,M62-603,Nut
PL-50,Turntable,M63-042-C,M63-042,Dust cover
PL-50,Turntable,M63-042-C,M63-042,Dust cover
PL-25/F,Turntable,M63-612-0,M63-612,Dust cover
PL-A25,Turntable,M63-615-0,M63-615,Dust cover
PL-A25,Turntable,M63-615-0,M63-615,Dust cover
SX-1500T,Receiver,M64-076-D,M64-076,Side Board (Right)
SX-1500T,Receiver,M64-077-D,M64-077,Side Board (Left)
PL-25/F,Turntable,M64-613-F,M64-613,Bottom cover
PL-25/F,Turntable,M64-613-F,M64-613,Wooden base
PL-50,Turntable,M64-621-A,M64-621,Bottom Cover
SD-1000,Other,M6525-B1B,M6525-B1B,CRT
SX-2500,Receiver,M71-004 O,M71-004 O,Nut M11
SX-2500,Receiver,M71-005 O,M71-005 O,Nut M9
PL-A25,Turntable,M91-610-0,M91-610,Prined circuit board
H-R99,8-Track Tape,M98-576-A,M98-576,Insulating Plate
PL-25/F,Turntable,M98-613-0,M98-613,Insulator
PL-A25,Turntable,M98-631-0,M98-631,Printed board insulator
QT-6100,Reel To Reel Tape,M98-855-0,M98-855,Insulator
