model,category,part_number,normalized_part_number,description
PL-50,Turntable,B71-602-0,B71-602,Nut
PL-55/55D,Turntable,B71-602-0,B71-602,Nut
PL-25/F,Turntable,B71-603-0,B71-603,Nut
PL-50,Turntable,B71-619-0,B71-619,Nut
PL-55/55D,Turntable,B71-619-0,B71-619,Washer
PL-A45,Turntable,B71-625-A,B71-625,Nut
PL-A25,Turntable,B71-635-0,B71-635,Nut special
PL-A25,Turntable,B71-636-0,B71-636,Nut special
PL-A35,Turntable,B71-636-0,B71-636,Nut
PL-A45,Turntable,B71-636-0,B71-636,Nut
PL-A45D,Turntable,B71-636-0,B71-636,Nut
PL-A25,Turntable,B71-642-0,B71-642,Nut special
PL-50,Turntable,B71-646-0,B71-646,Nut
PL-510,Turntable,B71-652,B71-652,Nut
PL-510S,Turntable,B71-652,B71-652,Nut
PL-A505,Turntable,B71-652-A,B71-652,Nut
PL-50,Turntable,B71-653-A,B71-653,Nut
PL-50,Turntable,B71-653-A,B71-653,Nut
PL-51,Turntable,B71-653-A,B71-653,Nut
PL-51A,Turntable,B71-653-A,B71-653,Nut
PL-71,Turntable,B71-653-0,B71-653,Nut
PL-A35,Turntable,B71-653-0,B71-653,Nut
PL-A45D,Turntable,B71-653-A,B71-653,Nut
PL-12E,Turntable,B71-656-B,B71-656,Nut
PL-15D,Turntable,B71-656-B,B71-656,Nut
PL-A25,Turntable,B71-656-0,B71-656,Hexagon nut for center shaft
PL-A35,Turntable,B71-656-A,B71-656,Nut
PL-A45,Turntable,B71-656-B,B71-656,Nut
PL-A45D,Turntable,B71-656-B,B71-656,Nut
H-R9000,8-Track Tape,B71-673-A,B71-673,Hex. Nut (with Nylon Ring)
H-R99,8-Track Tape,B71-673-A,B71-673,Hex. Nut (with Nylon Ring)
QT-6600,Reel To Reel Tape,B71-856-0,B71-856,Special nut
QT-74,Reel To Reel Tape,B71-856-0,B71-856,Special nut
H-R9000,8-Track Tape,B90-002-A,B90-002,Screw (Dial Pulley A)
RT-707,Reel To Reel Tape,BBH-352,BBH-352,Shut off spring
SX-6,Receiver,BBT30P080FZK,BBT30P080FZK,Screw (3X8)
A-9,Integrated Amplifier,BBT3OPU80FZK,BBT3OPU80FZK,Screw 3X8
A-66X,Integrated Amplifier,BBZ30P060FMC,BBZ30P060FMC,Screw
A-66X,Integrated Amplifier,BBZ30P060FZK,BBZ30P060FZK,Screw (3 x 6)
SX-6,Receiver,BBZ30P060FZK,BBZ30P060FZK,Screw (3X6)
A-66X,Integrated Amplifier,BBZ30P080FZK,BBZ30P080FZK,Screw (3 x 8)
RT-707,Reel To Reel Tape,BEB-219,BEB-219,Cushion rubber
CT-F750,Cassette Tape,BG-30,BG-30,Indicator
CT-F850,Cassette Tape,BG-30,BG-30,Flourescent indicator tube
TX-05,Tuner,BG5724S,BG5724S,LED CT730
SX-6,Receiver,BMZ40P080FZB,BMZ40P080FZB,Screw (4X8)
SX-828,Receiver,BT5B 151 K,BT5B 151 K,Wire wound  150 5W
SA-600,Integrated Amplifier,C15-001-O,C15-001,Oil paper 0.01 450V
SA-800,Integrated Amplifier,C15-001-0,C15-001,Oil paper 0.01 800V (KCW)
QT-6100,Reel To Reel Tape,C22-403-A,C22-403,MP capacitor
QT-6600,Reel To Reel Tape,C22-403-A,C22-403,MP capacitor
