model,category,part_number,normalized_part_number,description
SX-850,Receiver,288531A-R,288531A,Transistor
SX-850,Receiver,288531A-R,288531A,Transistor
SX-850,Receiver,2SB531A-R,2SB531A,Transistor
SX-850,Receiver,2SB531A-R,2SB531A,Transistor
SX-850,Receiver,2SD371A-R,2SD371A,Transistor
SX-850,Receiver,2SD371A-R,2SD371A,Transistor
SX-850,Receiver,2SD371A-R,2SD371A,Transistor
SX-850,Receiver,2SD371A-R,2SD371A,Transistor
SX-850,Receiver,AAA-034,AAA-034,Knob (TUNlNG)
SX-850,Receiver,AAB-100,AAB-100,Knob (BALANCE)
SX-850,Receiver,AAB-100,AAB-100,Knob (BASS)
SX-850,Receiver,AAB-100,AAB-100,Knob (TREBLE)
SX-850,Receiver,AAB-103,AAB-103,Knob (VOLUME)
SX-850,Receiver,AAD-113,AAD-113,Knob (ADAPTOR)
SX-850,Receiver,AAD-113,AAD-113,Knob (BASS TURNOVER)
SX-850,Receiver,AAD-113,AAD-113,Knob (HIGH FILTER)
SX-850,Receiver,AAD-113,AAD-113,Knob (LOUDNESS)
SX-850,Receiver,AAD-113,AAD-113,Knob (LOW FILTER)
SX-850,Receiver,AAD-113,AAD-113,Knob (MODE)
SX-850,Receiver,AAD-113,AAD-113,Knob (MUTING)
SX-850,Receiver,AAD-113,AAD-113,Knob (POWER)
SX-850,Receiver,AAD-113,AAD-113,Knob (TAPE DUPLICATE)
SX-850,Receiver,AAD-113,AAD-113,Knob (TAPE MONITOR 1)
SX-850,Receiver,AAD-113,AAD-113,Knob (TAPE MONITOR 2)
SX-850,Receiver,AAD-113,AAD-113,Knob (TONE)
SX-850,Receiver,AAD-113,AAD-113,Knob (TREBLE TURNOVER)
SX-850,Receiver,AAD-114,AAD-114,Knob (AM)
SX-850,Receiver,AAD-114,AAD-114,Knob (AUX)
SX-850,Receiver,AAD-114,AAD-114,Knob (FM MPX NOISE FILTER)
SX-850,Receiver,AAD-114,AAD-114,Knob (FM MUTING)
SX-850,Receiver,AAD-114,AAD-114,Knob (FM)
SX-850,Receiver,AAD-114,AAD-114,Knob (PHONO 1)
SX-850,Receiver,AAD-114,AAD-114,Knob (PHONO 2/MIC)
SX-850,Receiver,AAD-114,AAD-114,Knob (SPEAKERS A)
SX-850,Receiver,AAD-114,AAD-114,Knob (SPEAKERS B)
SX-850,Receiver,AAG-116,AAG-116,Dial scale board
SX-850,Receiver,AAT-027,AAT-027,"Indicator (AM, FM, PHONO 1, PHONO 2/MIC, AUX)"
SX-850,Receiver,AAT-028,AAT-028,Indicator (STEREO)
SX-850,Receiver,AAT-037,AAT-037,"Indicator (SP A, B)"
SX-850,Receiver,AAW-040,AAW-040,Double meter (SIGNAL/TUNING)
SX-850,Receiver,ABN-024,ABN-024,Flange nut 9ɸ
SX-850,Receiver,ACG-003,ACG-003,Ceramic 0.01 150V (DC1.4kV)
SX-850,Receiver,ACG-003,ACG-003,Ceramic 0.01 150V (DC1.4kV)
SX-850,Receiver,ACH-068,ACH-068,"Electrolytic 15,000 50V"
SX-850,Receiver,ACH-068,ACH-068,"Electrolytic 15,000 50V"
SX-850,Receiver,ACH-068,ACH-068,"Electrolytic capacitor (15,000uF, 50V)"
SX-850,Receiver,ACV-136,ACV-136,Variable resistor 100k-B (BASS)
SX-850,Receiver,ACV-136,ACV-136,Variable resistor 100k-B (TREBLE)
SX-850,Receiver,ACV-163,ACV-163,Variable resistor 100k-HB (BALANCE)
SX-850,Receiver,ACV-164,ACV-164,Variable resistor 50k-B2 (VOLUME)
SX-850,Receiver,AEC-256,AEC-256,Pulley (small)
SX-850,Receiver,AEK-104,AEK-104,Fuse 1.5A (FU6)
SX-850,Receiver,AEK-104,AEK-104,Fuse 1.5A (lamp circuit)
SX-850,Receiver,AEK-106,AEK-106,Fuse 1A (FU2)
SX-850,Receiver,AEK-106,AEK-106,Fuse 1A (FU4)
SX-850,Receiver,AEK-106,AEK-106,Fuse 1A (FU5)
SX-850,Receiver,AEK-106,AEK-106,Fuse 1A (secondary)
SX-850,Receiver,AEK-106,AEK-106,Fuse 1A (secondary)
SX-850,Receiver,AEK-106,AEK-106,Fuse 1A (secondary)
SX-850,Receiver,AEK-106,AEK-106,Fuse 1A (secondary)
SX-850,Receiver,AEK-106,AEK-106,Fuse IA (FU3)
SX-850,Receiver,AEK-108,AEK-108,Fuse SA (primary)
SX-850,Receiver,AEL-029,AEL-029,"Lamp (8V, 0.3A, wedge-type)"
SX-850,Receiver,AEL-056,AEL-056,"Lamp assembly - Lamp(8V, 0.3A,wedge-type AEL-029) / Lamp socket (wedge-type AKK-004)"
SX-850,Receiver,AEL-056,AEL-056,"Lamp assembly - Lamp(8V, 0.3A,wedge-type AEL-029) / Lamp socket (wedge-type AKK-004)"
SX-850,Receiver,AEL-056,AEL-056,"Lamp assembly - Lamp(8V, 0.3A,wedge-type AEL-029) / Lamp socket (wedge-type AKK-004)"
SX-850,Receiver,AEL-056,AEL-056,"Lamp assembly - Lamp(8V, 0.3A,wedge-type AEL-029) / Lamp socket (wedge-type AKK-004)"
SX-850,Receiver,AEL-069,AEL-069,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,AEL-072,AEL-072,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,AEL-072,AEL-072,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,AEL-073,AEL-073,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,AEL-073,AEL-073,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,AEL-075,AEL-075,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,AEL-076,AEL-076,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,AEL-082,AEL-082,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,AKA-004,AKA-004,Terminal (ANTENNA)
SX-850,Receiver,AKB-035,AKB-035,Terminal (ADAPTOR)
SX-850,Receiver,AKB-035,AKB-035,Terminal (PRE/POWER) Jumper plug
SX-850,Receiver,AKB-035,AKB-035,Terminal (TAPE 1)
SX-850,Receiver,AKB-035,AKB-035,Terminal (TAPE 2)
SX-850,Receiver,AKB-038,AKB-038,Terminal (PHONO 1/ PHONO2/ AUX)
SX-850,Receiver,AKB-040,AKB-040,Terminal (FM DET. OUT)
SX-850,Receiver,AKE-012,AKE-012,Terminal (GND)
SX-850,Receiver,AKE-029,AKE-029,Terminal (SPEAKER)
SX-850,Receiver,AKK-004,AKK-004,Socket (wedge-type)
SX-850,Receiver,AKM-004,AKM-004,Jumper plug
SX-850,Receiver,AKN-010,AKN-010,Phone jack (PHONES)
SX-850,Receiver,AKP-005,AKP-005,AC socket (AC OUTLETS)
SX-850,Receiver,AKP-007,AKP-007,5P connector socket (REC/PLAY)
SX-850,Receiver,AMM-048,AMM-048,Cabinet
SX-850,Receiver,ANB-438,ANB-438,Front panel assembly
SX-850,Receiver,ANK-012,ANK-012,Phone jack (MIC)
SX-850,Receiver,ARB-175,ARB-175,Operating Instructions SX-850
SX-850,Receiver,ARB-175,ARB-175,Service Manual SX-850
SX-850,Receiver,ASG-095,ASG-095,"Push switch (AM, FM, PHONO 1, PHONO 2/MIC, AUX)"
SX-850,Receiver,ASG-096,ASG-096,"Push switch (FM MUTING, FM MPX NOISE FILTER)"
SX-850,Receiver,ASG-113,ASG-113,"Push switch (SPEAKERS A, B)"
SX-850,Receiver,ASH-015,ASH-015,Slide switch (DE-EMPHASIS)
SX-850,Receiver,ASK-066,ASK-066,Lever switch (POWER)
SX-850,Receiver,ASK-089,ASK-089,Lever switch (HIGH FILTER)
SX-850,Receiver,ASK-089,ASK-089,Lever switch (LOUDNESS)
SX-850,Receiver,ASK-089,ASK-089,Lever switch (LOW FILTER)
SX-850,Receiver,ASK-089,ASK-089,Lever switch (MUTING)
SX-850,Receiver,ASK-089,ASK-089,Lever switch (TREBLE TURNOVER)
SX-850,Receiver,ASK-090,ASK-090,Lever switch (MODE)
SX-850,Receiver,ASK-090,ASK-090,Lever switch (TONE)
SX-850,Receiver,ASK-091,ASK-091,Lever switch (BASS TURNOVER)
SX-850,Receiver,ASK-092,ASK-092,Lever switch (ADAPTOR)
SX-850,Receiver,ASK-092,ASK-092,Lever switch (DUPLICATE)
SX-850,Receiver,ASK-092,ASK-092,Lever switch (TAPE MONITOR 1)
SX-850,Receiver,ASK-092,ASK-092,Lever switch (TAPE MONITOR 2)
SX-850,Receiver,ASR-019,ASR-019,Relay (S2)
SX-850,Receiver,ATT-302,ATT-302,Power transformer
SX-850,Receiver,AWE-071,AWE-071,Tuner assembly
SX-850,Receiver,AWF-011,AWF-011,Equalizer amplifier assembly
SX-850,Receiver,AWG-038,AWG-038,Flat amplifier assembly
SX-850,Receiver,AWG-039,AWG-039,Tone amplifier assembly
SX-850,Receiver,AWH-059,AWH-059,Power amplifier assembly
SX-850,Receiver,AWM-062,AWM-062,Protection circuit assembly
SX-850,Receiver,AWR-101,AWR-101,Power supply assembly (KC/KU/S)
SX-850,Receiver,AWR-102,AWR-102,Power supply assembly (HG)
SX-850,Receiver,AWS-093,AWS-093,FM Muting Switch assembly
SX-850,Receiver,AWS-094,AWS-094,Function Switch assembly
SX-850,Receiver,AWS-099,AWS-099,Speaker Switch assembly
SX-850,Receiver,AWX-062,AWX-062,5P Connector Assembly
SX-850,Receiver,AWX-095,AWX-095,De-Emphasis Switch Assembly (KC/KU)
SX-850,Receiver,AWX-096,AWX-096,Lamp board assembly
SX-850,Receiver,AWX-101,AWX-101,De-Emphasis Assembly (S)
SX-850,Receiver,AXA-111,AXA-111,Tuning shaft assembly
SX-850,Receiver,AXA-113,AXA-113,Tuning drum assembly
SX-850,Receiver,AXB-009,AXB-009,Bar-antenna assembly
SX-850,Receiver,CKDYF 103Z 50,CKDYF 103Z 50,Ceramic 0.01 50V
SX-850,Receiver,CKDYF 103Z 50,CKDYF 103Z 50,Ceramic 0.01 50V
SX-850,Receiver,CKDYF 103Z 50,CKDYF 103Z 50,Ceramic 0.01 50V
SX-850,Receiver,CKDYF 103Z 50,CKDYF 103Z 50,Ceramic 0.01 50V
SX-850,Receiver,CKDYF 103Z 50,CKDYF 103Z 50,Ceramic 0.01 50V
SX-850,Receiver,CKDYF 103Z 50,CKDYF 103Z 50,Ceramic 0.01 50V
SX-850,Receiver,CKDYF 103Z 50,CKDYF 103Z 50,Ceramic 0.01 50V
SX-850,Receiver,CKDYF 103Z 50,CKDYF 103Z 50,Ceramic 0.01 50V
SX-850,Receiver,RD½PS 225J,RD½PS 225J,Carbon film 2.2M ½W
SX-850,Receiver,RS2P 472J,RS2P 472J,Metal oxide 4.7k 2W
SX-850,Receiver,RS2P 472J,RS2P 472J,Metal oxide 4.7k 2W
SX-850,Receiver,T22-025,T22-025,Ferrite balun
SX-880/890,Receiver,2SB705A/A-R or S,2SB705A/A-R or S,Transistor
SX-880/890,Receiver,2SD745A/A-R or S,2SD745A/A-R or S,Transistor
SX-880/890,Receiver,AAA-050,AAA-050,Knob (TUNING)
SX-880/890,Receiver,AAB-175,AAB-175,"Knob (BASS, TREBLE)"
SX-880/890,Receiver,AAB-175,AAB-175,Knob (FUNCTION)
SX-880/890,Receiver,AAB-176,AAB-176,Knob (BALANCE)
SX-880/890,Receiver,AAB-185,AAB-185,Knob (VOLUME)
SX-880/890,Receiver,AAD-110,AAD-110,"Knob (SPEAKERS A, B)"
SX-880/890,Receiver,AAD-138,AAD-138,"Knob (FM MUTING, LOW FILTER)"
SX-880/890,Receiver,AAD-138,AAD-138,Knob (LOUDNESS)
SX-880/890,Receiver,AAD-138,AAD-138,"Knob (MODE, DUPLICATE)"
SX-880/890,Receiver,AAD-139,AAD-139,Knob (POWER)
SX-880/890,Receiver,AAD-139,AAD-139,Knob (TAPE MONITOR)
SX-880/890,Receiver,AAF-074,AAF-074,Dial pointer
SX-880/890,Receiver,AAG-162,AAG-162,Dial panel (SX-880/KU)
SX-880/890,Receiver,AAG-167,AAG-167,Dial panel (SX-890/KU)
SX-880/890,Receiver,AAW-075,AAW-075,Twin meter (SIGNAL/TUNING)
SX-880/890,Receiver,AAW-094,AAW-094,Twin meter (POWER)
SX-880/890,Receiver,ACG-001,ACG-001,Ceramic 0.01/250v
SX-880/890,Receiver,ACH-094,ACH-094,"Electrolytic 15,000/50v"
SX-880/890,Receiver,ACK-012,ACK-012,Tuning Capacitor
SX-880/890,Receiver,ACN-029,ACN-029,Carbon composition 2.2M/½W
SX-880/890,Receiver,ACN-031,ACN-031,Wire wound 220/5w
SX-880/890,Receiver,ACT-019,ACT-019,Variable resistor (BALANCE)
SX-880/890,Receiver,ACV-161,ACV-161,Variable resistor (VOLUME)
SX-880/890,Receiver,ACV-195 (ACV-193),ACV-195 (ACV-193),Variable resistor (BASS)
SX-880/890,Receiver,ACV-196 (ACV-194),ACV-196 (ACV-194),Variable resistor (TREBLE)
SX-880/890,Receiver,ADG-011,ADG-011,AC Power cord (SX-880/KC)
SX-880/890,Receiver,ADG-017,ADG-017,AC Power cord (SX-880/S)
SX-880/890,Receiver,ADG-017,ADG-017,AC Power cord (SX-880/SG)
SX-880/890,Receiver,ADG-023,ADG-023,AC Power cord (SX-880/KU)
SX-880/890,Receiver,AEC-294,AEC-294,Capacitor cover (for C1) SX-880/KU
SX-880/890,Receiver,AEC-294,AEC-294,Capacitor cover (for C1) SX-880/S
SX-880/890,Receiver,AEC-294,AEC-294,Capacitor cover (for C1) SX-880/SG
SX-880/890,Receiver,AEC-294,AEC-294,Capacitor cover (for C4) SX-880/S
SX-880/890,Receiver,AEC-294,AEC-294,Capacitor cover (for C4) SX-880/SG
SX-880/890,Receiver,AEC-385,AEC-385,Capacitor cover (for C1) SX-880/KC
SX-880/890,Receiver,AEK-102,AEK-102,Fuse 2.5A (SX-880/S)
SX-880/890,Receiver,AEK-102,AEK-102,Fuse 2.5A (SX-880/SG)
SX-880/890,Receiver,AEK-103,AEK-103,Fuse 2A
SX-880/890,Receiver,AEK-106,AEK-106,Fuse 1A
SX-880/890,Receiver,AEK-108,AEK-108,Fuse 5A
SX-880/890,Receiver,AEK-108,AEK-108,Fuse 5A (SX-880/S)
