model,category,part_number,normalized_part_number,description
PL-55X,Turntable,PXA-047-0,PXA-047,Insulator assembly
PL-530,Turntable,PXA-070,PXA-070,Hinge
PL-550,Turntable,PXA-085,PXA-085,AS assembly
PL-550,Turntable,PXA-086,PXA-086,EV sheet assembly
PL-570,Turntable,PXA-088,PXA-088,AS plate unit
PL-510,Turntable,PXA-103,PXA-103,Arm rest unit
PL-510A,Turntable,PXA-103,PXA-103,Arm rest unit
PL-510S,Turntable,PXA-103,PXA-103,Arm rest unit
PL-112D,Turntable,PXA-104,PXA-104,Arm rest assembly
PL-117D,Turntable,PXA-104,PXA-104,Arm rest assembly
PL-510,Turntable,PXA-104,PXA-104,Arm rest assembly
PL-510A,Turntable,PXA-104,PXA-104,Arm rest assembly
PL-510S,Turntable,PXA-104,PXA-104,Arm rest assembly
PL-510,Turntable,PXA-106,PXA-106,Storbo case assembly
PL-510S,Turntable,PXA-106,PXA-106,Storbo case assembly
PL-510,Turntable,PXA-107,PXA-107,FUNCTION MECHANISM ASSEMBLY
PL-510S,Turntable,PXA-107,PXA-107,FUNCTION MECHANISM ASSEMBLY
PL-112D,Turntable,PXA-108,PXA-108,Hinge
PL-117D,Turntable,PXA-108,PXA-108,Hinge
PL-510A,Turntable,PXA-108,PXA-108,Hinge
PL-510,Turntable,PXA-109,PXA-109,Foot assembly
PL-510A,Turntable,PXA-109,PXA-109,Foot assembly
PL-510S,Turntable,PXA-109,PXA-109,Foot assembly
PL-510,Turntable,PXA-117,PXA-117,Bottom plate assembly
PL-510A,Turntable,PXA-117,PXA-117,Bottom plate assembly
PL-510S,Turntable,PXA-117,PXA-117,Bottom plate assembly
PL-117D,Turntable,PXA-124,PXA-124,Speed selector button assembly
PL-112D,Turntable,PXA-134,PXA-134,Center shaft assembly
PL-117D,Turntable,PXA-134,PXA-134,Center shaft assembly
PL-117D,Turntable,PXA-142,PXA-142,Elevation lever assembly
PL-117D,Turntable,PXA-143,PXA-143,Disc size lever assembly
PL-115D,Turntable,PXA-148,PXA-148,FOOT ASSY PL115D
PL-117D,Turntable,PXA-148,PXA-148,Foot assembly
PL-117D,Turntable,PXA-149,PXA-149,PU plate assembly
PL-117D,Turntable,PXA-150,PXA-150,Speed selector assembly
PL-510,Turntable,PXA-155,PXA-155,Foot assembly
PL-510A,Turntable,PXA-155,PXA-155,Foot assembly
PL-510S,Turntable,PXA-155,PXA-155,Foot assembly
PL-112D,Turntable,PXA-159,PXA-159,Dust cover assembly
PL-117D,Turntable,PXA-159,PXA-159,Dust cover assembly
PL-510,Turntable,PXA-159,PXA-159,Dust cover assembly
PL-510A,Turntable,PXA-159,PXA-159,Dust cover assembly
PL-510S,Turntable,PXA-159,PXA-159,Dust cover assembly
PL-550,Turntable,PXA-164,PXA-164,Arm rest assembly
PL-550,Turntable,PXA-165,PXA-165,EV assembly
PL-550,Turntable,PXA-171,PXA-171,Hinge assembly
PL-570,Turntable,PXA-171,PXA-171,Hinge
PLC-590,Turntable,PXA-171,PXA-171,Hinge
PL-510,Turntable,PXA-180,PXA-180,FUNCTION MECHANISM ASSEMBLY (KCT model)
PL-117D,Turntable,PXA-187,PXA-187,Main plate assembly (HGT model)
PL-530,Turntable,PXA-196,PXA-196,Function lever assembly
PL-530,Turntable,PXA-198,PXA-198,Foot assembly
PL-530,Turntable,PXA-200,PXA-200,Platter assembly
PL-530,Turntable,PXA-206,PXA-206,Plate
PL-560,Turntable,PXA-206,PXA-206,Stopper unit
PLC-590,Turntable,PXA-211,PXA-211,START-STOP button ass'y
PL-117D,Turntable,PXA-214,PXA-214,Main plate assembly (Q model)
PL-117D,Turntable,PXA-214,PXA-214,Main plate assembly (QT model)
