model,category,part_number,normalized_part_number,description
SX-5,Receiver,AAB-273,AAB-273,Knob (VOLUME)
SX-5,Receiver,AAB-274,AAB-274,"Knob (BASS,TREBLE,BALANCE)"
SX-5,Receiver,AAD-399,AAD-399,Knob (INPUT)
SX-5,Receiver,AAD-400,AAD-400,Knob (TUNING)
SX-5,Receiver,AAD-402,AAD-402,Knob (FM)
SX-5,Receiver,AAD-403,AAD-403,Knob (AM)
SX-5,Receiver,AAD-404,AAD-404,Knob (MEMORY/STOP)
SX-5,Receiver,AAD-405,AAD-405,"Knob  (TAPE/ADPT,TUNlNG,MONO,LOUDNESS)"
SX-5,Receiver,AAD-406,AAD-406,Knob (POWER)
SX-5,Receiver,ABH-088,ABH-088,Coiled spring
SX-5,Receiver,ABN-047,ABN-047,Union nut
SX-5,Receiver,ACG-017,ACG-017,Ceramic capacitor
SX-5,Receiver,ACH-224,ACH-224,Electrolytic (8000/42V)
SX-5,Receiver,ACT-023,ACT-023,Variable resistor 1M (BALANCE)
SX-5,Receiver,ACT-128,ACT-128,Variable resistor 250k (VOLUME)
SX-5,Receiver,ACT-140,ACT-140,Variable resistor 100k (BASS)
SX-5,Receiver,ACT-140,ACT-140,Variable resistor 100k (TREBLE)
SX-5,Receiver,ADG-052,ADG-052,AC power cord
SX-5,Receiver,ADH-004,ADH-004,T-type FM antenna
SX-5,Receiver,AEC-358,AEC-358,Strain relief
SX-5,Receiver,AEC-838,AEC-838,Foot assembly
SX-5,Receiver,AEK-100,AEK-100,"Fuse (4A,FU101)"
SX-5,Receiver,AEK-109,AEK-109,"Fuse (6A,FU102,FU103l"
SX-5,Receiver,AEL-351,AEL-351,LED(Green)
SX-5,Receiver,AEL-365,AEL-365,LED(Red)
SX-5,Receiver,AEL-378,AEL-378,LED numeric display
SX-5,Receiver,AHA-294,AHA-294,Side pad
SX-5,Receiver,AHD-953,AHD-953,Packing case
SX-5,Receiver,AKA-017,AKA-017,Terminal (ANTENNA)
SX-5,Receiver,AKB-076,AKB-076,Terminal (AM STEREO OUT)
SX-5,Receiver,AKB-077,AKB-077,Terminal (PLAY)
SX-5,Receiver,AKB-079,AKB-079,"Terminal (PHON0,/AUX/VIDEO,REC)"
SX-5,Receiver,AKE-101,AKE-101,Terminal (SPEAKERS)
SX-5,Receiver,AKN-029,AKN-029,Phone jack (PHONES)
SX-5,Receiver,AKP-039,AKP-039,AC socket (AC OUTLETS)
SX-5,Receiver,ANE-369,ANE-369,Top cover
SX-5,Receiver,ANM-074,ANM-074,Front panel assembly
SX-5,Receiver,ANR-407,ANR-407,Display cover
SX-5,Receiver,ANR-432,ANR-432,Case cover
SX-5,Receiver,ANR-455,ANR-455,Slider assembly
SX-5,Receiver,ARB-438,ARB-438,Operating instructions  SX-5
SX-5,Receiver,ARP-009-0,ARP-009,Service manual  SX-5
SX-5,Receiver,ASG-177,ASG-177,Tact switch (STATION CALL SWITCHES)
SX-5,Receiver,ASG-300,ASG-300,"4-ganged push switch (TAPE/ADPT,TUNlNG,MONO,LOUDNESS)"
SX-5,Receiver,ASG-521,ASG-521,Push switch (POWER)
SX-5,Receiver,ASH-015,ASH-015,Slide switch (AM CHANNEL STEP)
SX-5,Receiver,ASS-016,ASS-016,Crystal resonator
SX-5,Receiver,ATB-636,ATB-636,Bar-antenna assembly
SX-5,Receiver,ATF-125,ATF-125,Ceramic resonator
SX-5,Receiver,ATT-840,ATT-840,Power transformer
SX-5,Receiver,AXC-013,AXC-013,Battery case
SX-5,Receiver,GWM-207,GWM-207,Complex assembly
SX-5,Receiver,GWX-706,GWX-706,Control assembly
SX-50,Receiver,AAB-342,AAB-342,Knob (VOLUME)
