model,category,part_number,normalized_part_number,description
TX-6500II,Tuner,AEL-059,AEL-059,"Lamp with wire 6V, 30mA"
TX-6500II,Tuner,AEL-059,AEL-059,"Lamp with wire 8V, 30mA"
SX-450,Receiver,AEL-060,AEL-060,"Lamp assembly (KU,KC)"
SX-450,Receiver,AEL-060,AEL-060,"Lamp assembly (KU,KC)"
SX-450,Receiver,AEL-060,AEL-060,"Lamp assembly (KU,KC)"
SX-550,Receiver,AEL-060,AEL-060,Lamp assembly 8V 300mA
SX-550,Receiver,AEL-060,AEL-060,Lamp assembly 8V 300mA
SX-550,Receiver,AEL-060,AEL-060,Lamp assembly 8V 300mA
SX-650,Receiver,AEL-060,AEL-060,Lamp assembly 8V 300mA
SX-650,Receiver,AEL-060,AEL-060,Lamp assembly 8V 300mA
SX-650,Receiver,AEL-060,AEL-060,Lamp assembly 8V 300mA
SX-750,Receiver,AEL-060,AEL-060,Lamp assembly
SX-750,Receiver,AEL-060,AEL-060,"Lamp assembly (8V, 0.3A)"
SX-750,Receiver,AEL-060,AEL-060,"Lamp assembly (8V, 0.3A)"
SX-750,Receiver,AEL-060,AEL-060,"Lamp assembly (8V, 0.3A)"
TX-6500II,Tuner,AEL-060,AEL-060,"Lamp assembly 8V, 300mA - KU"
TX-6500II,Tuner,AEL-060,AEL-060,"Lamp assembly 8V, 300mA - KU"
TX-6500II,Tuner,AEL-060,AEL-060,"Lamp assembly 8V, 300mA - KU"
SX-450,Receiver,AEL-061,AEL-061,"Lamp with leads (KU,KC)"
SX-550,Receiver,AEL-061,AEL-061,Lamp with leads 6V 50mA
SX-650,Receiver,AEL-061,AEL-061,Lamp with leads 8V 50mA
C-21,Pre-Amplifier,AEL-062,AEL-062,Lamp with wires (POWER)
SX-450,Receiver,AEL-062,AEL-062,"Lamp with leads (KU,KC)"
SX-550,Receiver,AEL-062,AEL-062,Lamp with leads 6V 50mA
SG-9500,Equalizer,AEL-063,AEL-063,Lamp with leads (8V 50mA)
SX-750,Receiver,AEL-064,AEL-064,"Lamp with leads (8V, 50mA)"
A-88X,Integrated Amplifier,AEL-065,AEL-065,Pilot lamp (Blue lead)
SX-3900,Receiver,AEL-065,AEL-065,Lamp wlth wires
SX-750,Receiver,AEL-066,AEL-066,"Lamp with leads (8V, 50mA)"
A-88X,Integrated Amplifier,AEL-067,AEL-067,Pilot lamp (Black lead)
SX-1080,Receiver,AEL-067,AEL-067,Piiot lamp with wire (AM)
SX-1080,Receiver,AEL-067,AEL-067,Pilot lamp with wire (AUX)
SX-1080,Receiver,AEL-067,AEL-067,Pilot lamp with wire (PHONO)
SX-1280,Receiver,AEL-067,AEL-067,Lamp with wires  50mA
SX-1280,Receiver,AEL-067,AEL-067,Lamp with wires  50mA
SX-1280,Receiver,AEL-067,AEL-067,Lamp with wires  50mA
SX-1980,Receiver,AEL-067,AEL-067,Lamn with wires 8V  50mA
SX-1980,Receiver,AEL-067,AEL-067,Lamp (wedge type) 8V  50mA
SX-1980,Receiver,AEL-067,AEL-067,Lamp with wires 8V  50m A
SX-1980,Receiver,AEL-067,AEL-067,Lamp with wires 8V  50mA
SX-1980,Receiver,AEL-067,AEL-067,Lamp with wires 8V  50mA
SX-750,Receiver,AEL-067,AEL-067,"Lamp with leads (8V, 50mA)"
SX-980,Receiver,AEL-067,AEL-067,Pilot lamp with wire
SX-750,Receiver,AEL-068,AEL-068,"Lamp with leads (8V, 50mA)"
M-22,Amplifier,AEL-069,AEL-069,"Lamp with wires 8V, 50mA (KL-type)"
M-22,Amplifier,AEL-069,AEL-069,"Lamp with wires 8V, 50mA (N-type)"
M-25,Amplifier,AEL-069,AEL-069,PL1
SA-3000,Integrated Amplifier,AEL-069,AEL-069,Lamp 7.5V  50mA (KU)
SA-7800,Integrated Amplifier,AEL-069,AEL-069,Lamp with wives 8V 50mA
SA-9500II,Integrated Amplifier,AEL-069,AEL-069,"Lamp with leads 8V, 50mA"
SA-9500II,Integrated Amplifier,AEL-069,AEL-069,"Lamp with leads 8V, 50mA"
SX-1050,Receiver,AEL-069,AEL-069,PL13 Lamp with wire 8V
SX-1080,Receiver,AEL-069,AEL-069,Pilot lamp with wire (FM)
SX-1080,Receiver,AEL-069,AEL-069,Pilot lamp with wire (STEREO IND.)
SX-1250,Receiver,AEL-069,AEL-069,"Lamp with leads (8V, 50mA, STEREO)"
SX-1280,Receiver,AEL-069,AEL-069,Lamp with wires  50mA
SX-1280,Receiver,AEL-069,AEL-069,Lamp with wires  50mA
SX-1980,Receiver,AEL-069,AEL-069,Lamp with wires 8V  50mA
SX-1980,Receiver,AEL-069,AEL-069,Lamp with wires 8V  50mA
SX-3900,Receiver,AEL-069,AEL-069,"Lamp with wires (FM, AM,PHONO 2, PHONO 1)"
SX-650,Receiver,AEL-069,AEL-069,Lamp with leads 8V 50mA
SX-750,Receiver,AEL-069,AEL-069,"Lamp with leads (8V, 50mA)"
SX-750,Receiver,AEL-069,AEL-069,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,AEL-069,AEL-069,"Lamp with leads (8V, 50mA)"
SX-950,Receiver,AEL-069,AEL-069,"Lamp with leads (8V, 50mA)"
SX-980,Receiver,AEL-069,AEL-069,Pilot lamp with wire
TX-6500,Tuner,AEL-070,AEL-070,PILOT LAMP
SX-1050,Receiver,AEL-072,AEL-072,PL11 Lamp with wire 8V
SX-1050,Receiver,AEL-072,AEL-072,PL6 Lamp with wire 8V
SX-1250,Receiver,AEL-072,AEL-072,"Lamp with leads (8V, 50mA, PH-2)"
SX-1250,Receiver,AEL-072,AEL-072,"Lamp with leads (8V, 50mA, SP-B)"
SX-1280,Receiver,AEL-072,AEL-072,Lamp with wires  50mA
SX-850,Receiver,AEL-072,AEL-072,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,AEL-072,AEL-072,"Lamp with leads (8V, 50mA)"
SX-950,Receiver,AEL-072,AEL-072,"Lamp with leads (8V, 50mA)"
SX-950,Receiver,AEL-072,AEL-072,"Lamp with leads (8V, 50mA)"
TX-7800,Tuner,AEL-072,AEL-072,Lamp 8V 50mA
TX-8500II,Tuner,AEL-072,AEL-072,Lamp with wire 8V 50mA (STEREO)
TX-9500II,Tuner,AEL-072,AEL-072,"Lamp with wire 8V, 50mA"
TX-9500II,Tuner,AEL-072,AEL-072,"Lamp with wire 8V, 50mA"
TX-9500II,Tuner,AEL-072,AEL-072,"PILOT LAMP(SPEAKER ""B""/STEREO)"
SX-1050,Receiver,AEL-073,AEL-073,PL12 Lamp with wire 8V
SX-1050,Receiver,AEL-073,AEL-073,PL7 Lamp with wire 8V
SX-1250,Receiver,AEL-073,AEL-073,"Lamp with leads (8V, 50mA, AUX)"
SX-1250,Receiver,AEL-073,AEL-073,"Lamp with leads (8V, 50mA, SP-C)"
SX-850,Receiver,AEL-073,AEL-073,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,AEL-073,AEL-073,"Lamp with leads (8V, 50mA)"
SX-950,Receiver,AEL-073,AEL-073,"Lamp with leads (8V, 50mA)"
SX-950,Receiver,AEL-073,AEL-073,"Lamp with leads (8V, 50mA)"
SX-1050,Receiver,AEL-074,AEL-074,PL10 Lamp with wire 8V
SX-1050,Receiver,AEL-074,AEL-074,PL5 Lamp with wire 8V
SX-1250,Receiver,AEL-074,AEL-074,"Lamp with leads (8V, 50mA, PH-1)"
SX-1250,Receiver,AEL-074,AEL-074,"Lamp with leads (8V, 50mA, SP-A)"
SX-950,Receiver,AEL-074,AEL-074,"Lamp with leads (8V, 50mA)"
SX-950,Receiver,AEL-074,AEL-074,"Lamp with leads (8V, 50mA)"
A-717,Integrated Amplifier,AEL-075,AEL-075,"SPKR, FUNCTION LAMP"
A-80,Integrated Amplifier,AEL-075,AEL-075,"Lamp 8V, 50mA (SPKR, FUNCTION LAMP)"
A-90,Integrated Amplifier,AEL-075,AEL-075,"Lamp (8V, 50mA)"
A-90,Integrated Amplifier,AEL-075,AEL-075,"Lamp (8V, 50mA)"
A-90,Integrated Amplifier,AEL-075,AEL-075,Lamp (white lead)
SA-420,Integrated Amplifier,AEL-075,AEL-075,Lamp (Wire term. 8V/50mA - FUNCTION)
SX-1050,Receiver,AEL-075,AEL-075,PL9 Lamp with wire 8V
SX-1250,Receiver,AEL-075,AEL-075,"Lamp with leads (8V, 50mA, FM)"
SX-3500,Receiver,AEL-075,AEL-075,Lamp with wires 8V 50mA (STEREO IND)
SX-3600/720,Receiver,AEL-075,AEL-075,"Lamp with wire (8V, 50mA)"
SX-3700,Receiver,AEL-075,AEL-075,"Lamp with wire (8V,50mA)"
SX-3900,Receiver,AEL-075,AEL-075,Lamp with wlres
SX-820,Receiver,AEL-075,AEL-075,"Lamp with wire (8V,50mA)"
SX-850,Receiver,AEL-075,AEL-075,"Lamp with leads (8V, 50mA)"
